time,Eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in,Temp_out,Dew Point,Humidity_out,Wind,Wind Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
16/06/2021 21:05,400.9,1,19.8,20.1,27.7,27.7,30.1,29.4,30.3,579.2,55.4,86.54,74,64.7 °F,73,SSW,3.4,3.5 mph,29.94 in,0.09 in,0.03 in,0,0.4 w/m²
16/06/2021 21:10,400.9,1,19.8,20.1,28.3,28.5,28.7,29.4,30.29,623,55.85,86.522,73.5,64.9 °F,74,South,3.9,4.1 mph,29.95 in,0.18 in,0.04 in,0,0.2 w/m²
16/06/2021 21:15,400.9,1,20.7,21.7,29,29.6,31.9,31.3,30.36,679.8,57.79,86.648,73,65.1 °F,76,South,3.1,3.2 mph,29.95 in,0.18 in,0.04 in,0,0 w/m²
16/06/2021 21:20,400.9,1,22,23.6,31.2,32.3,33.9,33.9,30.41,737.6,59.07,86.738,72.5,65.8 °F,79,South,2.5,2.5 mph,29.94 in,0.18 in,0.06 in,0,0 w/m²
16/06/2021 21:25,400.9,1,21.4,22.7,29.6,29.9,30.2,30.3,30.48,804.9,60.33,86.864,72.1,65.7 °F,80,SSW,2,2.0 mph,29.95 in,0.18 in,0.07 in,0,0 w/m²
16/06/2021 21:30,400.9,1,20.9,22.2,29.8,30.5,31.7,31.6,30.51,859.2,61.38,86.918,71.6,65.6 °F,82,SW,2.2,2.3 mph,29.95 in,0.18 in,0.09 in,0,0 w/m²
16/06/2021 21:35,400.9,1,20.9,21.9,29.2,29.6,30.6,30.6,30.54,889.1,61.3,86.972,71.4,65.9 °F,83,South,1.8,1.9 mph,29.95 in,0.18 in,0.09 in,0,0 w/m²
16/06/2021 21:40,400.9,1,19.4,19.8,27.9,28.2,28.5,28.9,30.53,929.5,61.49,86.954,71.4,65.7 °F,83,South,3,3.2 mph,29.96 in,0.18 in,0.11 in,0,0 w/m²
16/06/2021 21:45,400.9,1,19.6,20,27.1,27.2,27.5,27.5,30.58,965.3,61.67,87.044,71.1,65.4 °F,82,SSW,5.6,6.1 mph,29.96 in,0.28 in,0.14 in,0,0 w/m²
16/06/2021 21:50,401,1,19.8,20.3,27.5,27.6,28.3,28.1,30.59,996.1,61.83,87.062,70.6,65.4 °F,84,South,4.1,4.4 mph,29.97 in,0.28 in,0.15 in,0,0 w/m²
16/06/2021 21:55,400.9,1,18.8,19,26.9,26.9,27.5,27.7,30.59,1022.1,62.02,87.062,70.2,65.4 °F,85,South,4.5,4.8 mph,29.97 in,0.37 in,0.18 in,0,0 w/m²
16/06/2021 22:00,400.9,1,18.5,18.7,25.4,25.4,26.6,26.2,30.6,1046.5,62.29,87.08,69.9,65.4 °F,86,South,3.1,3.3 mph,29.97 in,0.37 in,0.22 in,0,0 w/m²
16/06/2021 22:05,400.9,1,18.8,19,26.3,26.4,26.3,27.2,30.6,1081,62.49,87.08,69.4,65.0 °F,86,South,2.5,2.6 mph,29.97 in,0.37 in,0.23 in,0,0 w/m²
16/06/2021 22:10,400.9,1,18.4,18.4,24.6,24.6,25.5,25,30.59,1105.4,62.56,87.062,69.4,65.1 °F,86,South,1.7,1.7 mph,29.97 in,0.28 in,0.25 in,0,0 w/m²
16/06/2021 22:15,400.9,1,17.8,17.8,25,25,25.3,25.8,30.6,1123.1,62.59,87.08,69.2,65.3 °F,87,SW,1.7,1.7 mph,29.96 in,0.28 in,0.26 in,0,0 w/m²
16/06/2021 22:20,400.9,1,16.3,16.3,21.9,21.9,23.1,22.7,30.59,1142,62.52,87.062,69.2,65.4 °F,88,WSW,0.6,0.6 mph,29.96 in,0.28 in,0.29 in,0,0 w/m²
16/06/2021 22:25,400.9,1,17.1,17.1,23.9,23.9,24.3,24.4,30.6,1165.8,62.65,87.08,69,65.8 °F,89,WSW,0.3,0.3 mph,29.96 in,0.28 in,0.29 in,0,0 w/m²
16/06/2021 22:30,400.9,1,17.5,17.5,23,23,23.3,23.5,30.6,1200.6,62.82,87.08,68.6,64.8 °F,88,SW,0.8,0.8 mph,29.95 in,0.09 in,0.29 in,0,0 w/m²
16/06/2021 22:35,400.9,1,16.8,16.8,23.4,23.4,23.6,24,30.6,1234.1,63.08,87.08,68.7,64.6 °F,87,SE,3.1,3.3 mph,29.94 in,0.00 in,0.29 in,0,0 w/m²
16/06/2021 22:40,400.9,1,16.5,16.5,22.7,22.7,23.9,23.4,30.59,1274.6,63.43,87.062,68.9,64.9 °F,87,SE,2.7,2.8 mph,29.94 in,0.00 in,0.29 in,0,0 w/m²
16/06/2021 22:45,400.9,1,16.5,16.5,22.6,22.6,23.1,23.3,30.59,1315.1,63.79,87.062,68.9,64.7 °F,86,SSE,2.9,3.0 mph,29.94 in,0.09 in,0.31 in,0,0 w/m²
16/06/2021 22:50,401,1,15.9,15.9,21.9,21.9,22.6,22.3,30.6,1346.8,64.14,87.08,69,65.0 °F,87,SE,3,3.1 mph,29.94 in,0.09 in,0.31 in,0,0 w/m²
16/06/2021 22:55,400.9,1,16.7,16.7,22.9,22.9,23,23.1,30.6,1377.7,64.41,87.08,68.9,64.7 °F,86,SE,3.5,3.7 mph,29.94 in,0.09 in,0.31 in,0,0 w/m²
16/06/2021 23:00,400.9,1,15.5,15.5,21.2,21.2,21.2,21.5,30.6,1408.1,64.64,87.08,68.9,65.2 °F,87,SSE,2.1,2.1 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:05,400.9,1,15.8,15.8,21.1,21.1,21.1,21.3,30.6,1440.6,64.79,87.08,69,65.3 °F,88,SSE,3.2,3.3 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:10,400.9,1,15.3,15.3,20.3,20.3,21.9,21.6,30.6,1470.6,65.09,87.08,68.9,65.4 °F,88,SE,1.6,1.6 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:15,400.9,1,15.2,15.2,20.3,20.3,20.6,20.9,30.6,1498.3,65.46,87.08,68.7,64.9 °F,88,East,2.3,2.4 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:20,400.9,1,15,15,19.8,19.8,21.3,20.9,30.6,1531.4,65.95,87.08,68.5,63.9 °F,86,SE,1.7,1.7 mph,29.92 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:25,400.9,1,14.9,14.9,20,20,20.4,20.7,30.6,1584.7,66.17,87.08,68.5,63.4 °F,84,SE,1.7,1.7 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:30,400.9,1,15.2,15.2,20.2,20.2,20.4,20.5,30.6,1642.1,66.5,87.08,68.7,63.6 °F,84,SE,0.5,0.5 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:35,400.9,1,14.4,14.4,18.6,18.6,19.5,18.9,30.62,1679.4,67.18,87.116,68.8,64.3 °F,85,SE,0.4,0.4 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:40,400.9,1,15.7,15.7,20.8,20.8,21.5,21.7,30.63,1721.8,67.68,87.134,68.9,64.4 °F,85,SE,0.9,0.9 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:45,401,1,15.1,15.1,20.6,20.6,21,20.8,30.69,1751.2,68.07,87.242,68.9,64.2 °F,85,SSE,1.1,1.1 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:50,400.9,1,13.6,13.6,18.5,18.5,18.7,18.9,30.7,1773.5,68.23,87.26,68.9,64.3 °F,85,SSE,1.3,1.3 mph,29.92 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:55,400.9,1,14.1,14.1,18.2,18.2,19.3,19.4,30.7,1800.6,68.51,87.26,68.7,63.9 °F,85,South,0.9,0.9 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 00:00,400.9,1,14.4,14.4,18.7,18.7,19.8,19.6,30.7,1824.7,68.66,87.26,68.7,64.4 °F,86,South,0.3,0.3 mph,29.93 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:05,400.9,1,14.5,14.5,19,19,18.8,19.4,30.7,1849.7,68.86,87.26,68.5,64.6 °F,87,South,0.1,0.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:10,400.9,1,13.4,13.4,17.9,17.9,18.3,18.2,30.69,1866.2,68.83,87.242,68.5,64.7 °F,88,South,0.3,0.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
