time,Eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in,Temp_out,Dew Point,Humidity_out,Wind,Wind Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
13/06/2021 21:00,421.7,368.9,10.2,10.2,13.8,13.8,14.4,14.4,30.4,521,52.42,86.72,73.9,55.5 °F,53,South,4.3,4.7 mph,30.35 in,0.00 in,0.00 in,0,10 w/m²
13/06/2021 21:05,502.3,410.2,10.9,10.9,14.4,14.4,14.5,14.5,30.4,542.8,52.89,86.72,73.7,55.1 °F,52,South,3.6,3.8 mph,30.35 in,0.00 in,0.00 in,0,7.7 w/m²
13/06/2021 21:10,579.7,451.6,11.1,11.1,14.1,14.1,14.1,14.1,30.41,585.6,53.38,86.738,73.7,55.0 °F,52,South,2.8,2.9 mph,30.34 in,0.00 in,0.00 in,0,6.2 w/m²
13/06/2021 21:15,638.8,486.6,10.7,10.7,13.9,13.9,14.3,14.3,30.49,631.1,53.85,86.882,73.3,54.6 °F,52,South,5.1,5.5 mph,30.34 in,0.00 in,0.00 in,0,4.7 w/m²
13/06/2021 21:20,681.3,510.8,9.9,9.9,13.1,13.1,13.9,13.9,30.5,678.3,54.35,86.9,73,54.3 °F,52,South,4.1,4.4 mph,30.35 in,0.00 in,0.00 in,0,3.5 w/m²
13/06/2021 21:25,724.3,531.9,10,10,13,13,13.5,13.5,30.5,710.9,54.78,86.9,73,53.8 °F,51,SSE,2.3,2.4 mph,30.35 in,0.00 in,0.00 in,0,2.4 w/m²
13/06/2021 21:30,760.3,551.2,10.6,10.6,13.6,13.6,13.6,13.6,30.5,748.7,55.18,86.9,72.8,53.2 °F,50,South,5.5,5.8 mph,30.35 in,0.00 in,0.00 in,0,1.5 w/m²
13/06/2021 21:35,785.8,569.8,9.9,9.9,12.8,12.8,12.9,12.9,30.5,795.2,55.57,86.9,72.6,52.8 °F,50,South,4.7,5.0 mph,30.35 in,0.00 in,0.00 in,0,1 w/m²
13/06/2021 21:40,821.6,589.3,10.5,10.5,13.6,13.6,13.6,13.6,30.5,831.1,55.98,86.9,72.5,52.6 °F,50,South,4.8,5.1 mph,30.35 in,0.00 in,0.00 in,0,0.6 w/m²
13/06/2021 21:45,847.4,598,10.1,10.1,13.4,13.4,13.5,13.5,30.5,861,56.24,86.9,72.3,52.5 °F,50,South,4.2,4.5 mph,30.35 in,0.00 in,0.00 in,0,0.2 w/m²
13/06/2021 21:50,880.1,613,10.3,10.3,13.7,13.7,13.9,13.9,30.5,944,56.86,86.9,72.2,52.4 °F,50,South,3.4,3.6 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 21:55,913.2,626.8,10.2,10.2,13,13,13,13,30.5,994.9,57.24,86.9,72.1,52.3 °F,50,South,4.1,4.3 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:00,925.1,640.9,9.9,9.9,13.1,13.1,13.5,13.5,30.5,1002.7,57.54,86.9,72,52.2 °F,50,South,4,4.3 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:05,949.5,652.8,9.6,9.6,12.4,12.4,12.8,12.8,30.5,1017.2,57.87,86.9,71.9,52.3 °F,50,South,2.8,2.9 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:10,980.6,669.2,9.7,9.7,12.6,12.6,12.8,12.8,30.5,1040.7,58.25,86.9,71.9,52.7 °F,51,SE,1.9,1.9 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:15,1003.5,682.9,9.4,9.4,12.7,12.7,12.8,12.8,30.49,1071.7,58.6,86.882,71.7,52.5 °F,51,South,2,2.0 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
