time,CO2,temp,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
27/06/2021 20:20,632.1,26.7,65.96,80.06,65.6,62.4 °F,89,ESE,1.4,1.4 mph,30.07 in,0.09 in,0.40 in,0,7.7 w/m²
27/06/2021 20:25,647.2,26.7,66.21,80.06,65.6,62.6 °F,90,ESE,1,1.0 mph,30.07 in,0.09 in,0.42 in,0,3.9 w/m²
27/06/2021 20:30,716.2,26.78,67.02,80.204,65.6,62.7 °F,90,ESE,1.3,1.3 mph,30.06 in,0.18 in,0.44 in,0,2.4 w/m²
27/06/2021 20:35,788.6,26.98,67.26,80.564,65.6,62.9 °F,91,ENE,2.2,2.3 mph,30.06 in,0.28 in,0.45 in,0,2.4 w/m²
27/06/2021 20:40,855.4,27.19,67.21,80.942,65.3,62.6 °F,91,NE,3,3.1 mph,30.07 in,0.28 in,0.47 in,0,2.8 w/m²
27/06/2021 20:45,916.4,27.37,67.2,81.266,65,62.0 °F,90,ENE,2.9,3.1 mph,30.07 in,0.28 in,0.50 in,0,2.5 w/m²
27/06/2021 20:50,984.2,27.47,67.16,81.446,64.8,62.1 °F,91,East,2.4,2.5 mph,30.07 in,0.28 in,0.51 in,0,1.8 w/m²
27/06/2021 20:55,1037.1,27.57,67.2,81.626,64.5,61.8 °F,91,ENE,2.5,2.6 mph,30.07 in,0.28 in,0.51 in,0,1.7 w/m²
27/06/2021 21:00,1070.4,27.67,67.48,81.806,64.4,61.7 °F,91,NE,2.7,2.7 mph,30.07 in,0.09 in,0.51 in,0,1.6 w/m²
27/06/2021 21:05,1121.8,27.72,67.84,81.896,64.5,61.8 °F,91,NE,1.9,1.9 mph,30.07 in,0.09 in,0.53 in,0,1.6 w/m²
27/06/2021 21:10,1207.5,27.8,68.15,82.04,64.4,61.7 °F,91,NE,2,2.0 mph,30.07 in,0.09 in,0.53 in,0,1.3 w/m²
