time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
06/06/2021 21:00,1380.1,369.6,26.1,30.9,38.6,45.1,46.7,48.5,29,537,46.82,84.2,70.4,55.3 °F,59,SSW,2.6,2.7 mph,30.35 in,0.00 in,0.00 in,0,3.9 w/m²
06/06/2021 21:05,1438.4,374,29.7,39.2,45.7,61.1,56.2,64.8,29,563,47.19,84.2,70.2,55.1 °F,59,SSW,1.7,1.7 mph,30.34 in,0.00 in,0.00 in,0,30.5 w/m²
06/06/2021 21:10,1973.3,423.3,26,30.6,39.5,41.7,46.4,47.8,29.02,620.9,47.36,84.236,70.1,54.9 °F,59,South,2.8,2.9 mph,30.34 in,0.00 in,0.00 in,0,30.5 w/m²
06/06/2021 21:15,2466.8,476.1,25.6,30.4,39.5,42.4,47.3,49.5,29.09,670.4,47.57,84.362,70.1,55.0 °F,59,SW,2.9,3.0 mph,30.34 in,0.00 in,0.00 in,0,30.4 w/m²
06/06/2021 21:20,2500,484.9,25.5,17.9,34.2,43.4,44.5,45,29.16,712.3,47.77,84.488,69.9,55.4 °F,60,South,2.2,2.2 mph,30.34 in,0.00 in,0.00 in,0,30.8 w/m²
06/06/2021 21:25,2594.2,502.3,24.7,29,37.7,43.5,44.5,45.7,29.2,763.7,47.95,84.56,69.9,55.4 °F,60,South,4.1,4.4 mph,30.35 in,0.00 in,0.00 in,0,27.9 w/m²
06/06/2021 21:30,3311.2,565.9,24.5,28.4,36.7,41.6,42.8,43.1,29.28,809.4,48.13,84.704,69.9,55.6 °F,61,SSW,2,2.0 mph,30.35 in,0.00 in,0.00 in,0,29.2 w/m²
06/06/2021 21:35,3444.8,584.7,25.1,29.4,37.7,43.2,44.4,45,29.3,854.7,48.32,84.74,69.4,55.7 °F,62,South,3,3.1 mph,30.35 in,0.00 in,0.00 in,0,29.5 w/m²
06/06/2021 21:40,3717.9,612.7,24.3,28,36.5,41.5,43,43.3,29.32,899.2,48.56,84.776,69.4,55.7 °F,62,South,2.9,3.0 mph,30.35 in,0.00 in,0.00 in,0,28 w/m²
06/06/2021 21:45,4201.7,596.6,21.4,13.8,36,36.4,37.4,37.6,29.31,940.1,48.74,84.758,69.6,55.9 °F,62,SSW,3.6,3.8 mph,30.35 in,0.00 in,0.00 in,0,29.9 w/m²
06/06/2021 21:50,4209.4,670.9,23.5,26.8,35.8,40.4,41.4,41.6,29.4,984,48.95,84.92,69.2,55.8 °F,62,South,3.6,3.8 mph,30.35 in,0.00 in,0.00 in,0,26.3 w/m²
06/06/2021 21:55,4436.2,693.4,23,18.2,34.8,38.9,40.3,40.4,29.4,1015.3,49.14,84.92,69,55.9 °F,63,SSE,1.6,1.6 mph,30.35 in,0.00 in,0.00 in,0,27.8 w/m²
06/06/2021 22:00,4795.9,829,23.8,26.8,34.8,38.3,39.8,39.8,29.4,1047.7,49.33,84.92,69.1,55.9 °F,63,SSW,2.2,2.2 mph,30.35 in,0.00 in,0.00 in,0,28.9 w/m²
06/06/2021 22:05,4937.6,896.5,23.6,26.7,34.6,38.2,38.8,38.8,29.41,1076.8,49.51,84.938,69.2,56.1 °F,63,South,2.6,2.7 mph,30.36 in,0.00 in,0.00 in,0,28.8 w/m²
06/06/2021 22:10,4887.6,815.7,20.3,12.5,34.7,34.5,35.5,35.5,29.41,1111.9,49.69,84.938,69,56.1 °F,63,SSW,3.7,4.0 mph,30.36 in,0.00 in,0.00 in,0,28.8 w/m²
06/06/2021 22:15,4883.7,926,22.6,24.9,33.7,36.6,38.3,38.3,29.41,1140.3,49.95,84.938,68.9,56.4 °F,64,SSW,2.8,3.0 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:20,4882,947.6,22.2,24.2,33.7,36.5,37.9,37.9,29.48,1171.2,50.16,85.064,68.3,56.5 °F,66,SSW,2.7,2.8 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:25,4914.5,979.4,22.6,24.8,34.1,37.5,39.3,39.3,29.5,1191,50.24,85.1,68,56.4 °F,67,South,2.9,3.0 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:30,4973.6,1018.7,22.4,21.8,32.9,35.1,36.4,36.4,29.56,1217.6,50.3,85.208,68,56.5 °F,67,South,1.8,1.8 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:35,5147.4,1073.5,20,14.2,32.2,34.2,35.7,35.7,29.6,1247.7,50.47,85.28,68.1,57.1 °F,68,South,2,2.0 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:40,5656.1,1199.5,22.1,24,32.5,34.4,36.3,36.3,29.6,1280.7,50.63,85.28,68,56.9 °F,68,South,2.3,2.4 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:45,5779.5,1235.8,21.8,16.1,32.1,34,34.8,34.8,29.6,1312.7,50.74,85.28,67.6,57.2 °F,69,South,3.8,4.1 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:50,5724.6,1231.6,20.8,22,29.9,30.6,32.1,32.1,29.59,1338.8,50.85,85.262,67.2,57.0 °F,70,SW,2,2.0 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 22:55,6025.2,1272.8,20.8,22,31,32.1,33,33,29.59,1360.3,50.95,85.262,67.2,57.2 °F,70,South,2.1,2.1 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:00,6701.3,1346.5,20.5,21.6,31.1,32.3,33.1,33.1,29.59,1386.4,51.01,85.262,66.9,57.4 °F,72,SW,3.9,4.2 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:05,6781.4,1355.6,20.4,21.3,30.5,31.4,32.6,32.6,29.56,1406.9,51.17,85.208,66.6,57.5 °F,73,SSW,2.5,2.6 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:10,7140.8,1413.8,17.6,12.1,29.9,27.3,31.8,31.8,29.53,1423,51.23,85.154,66.3,57.4 °F,73,South,1.6,1.6 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:15,7219.3,1412.1,19.6,20,28,28.2,29.2,29.2,29.51,1446,51.33,85.118,66.2,57.5 °F,74,South,1.3,1.3 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:20,7049.2,1422.8,19.5,19.7,28.8,29,29.5,29.5,29.51,1466.9,51.42,85.118,66.2,57.5 °F,74,SSW,1.3,1.3 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:25,6961.5,1401,18.5,18.7,26.6,26.6,28.5,28.5,29.53,1496.8,51.57,85.154,66.2,57.5 °F,74,SW,0.8,0.8 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:30,7443,1465.1,18.7,18.7,27.2,27.3,28.9,28.9,29.52,1516.3,51.62,85.136,66.2,57.5 °F,74,SSW,1.6,1.6 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:35,8120.5,1536.3,18.2,18.2,23.7,26.3,26.7,26.7,29.5,1535.7,51.7,85.1,66.2,57.5 °F,74,SSW,1.2,1.2 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:40,8052.5,1543.4,18,18.2,25.5,25.6,26.7,24,29.5,1553.8,51.82,85.1,66,57.5 °F,74,SW,1.5,1.6 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:45,8168,1546.6,18.2,16.6,24.5,27.3,28.5,28.5,29.5,1584.6,52.06,85.1,65.8,57.7 °F,75,SSE,1.4,1.4 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:50,8169.6,1568.1,17.4,10.4,25.2,25.2,26.4,26.4,29.5,1614,52.2,85.1,65.5,57.5 °F,76,SW,1.7,1.8 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
06/06/2021 23:55,8084.8,1573.3,17.1,17.1,25.9,25.9,26.6,26.6,29.51,1637.6,52.31,85.118,65.3,57.5 °F,76,SW,1.8,1.8 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:00,8162.4,1581.8,17,10.1,23.9,23.9,24.8,22.3,29.5,1657.4,52.35,85.1,65.1,57.4 °F,76,SSW,2.1,2.2 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:05,8345.8,1596.8,16.7,16.7,22.7,22.7,24,24,29.5,1680.1,52.51,85.1,64.9,57.5 °F,77,SW,2.4,2.5 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:10,8802.9,1637.6,15.4,15.4,22.4,22.4,23.2,23.2,29.5,1699.6,52.6,85.1,64.7,57.4 °F,78,SW,1.6,1.6 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:15,8798.9,1643.2,15.3,15.3,22.8,22.8,23.6,23.6,29.51,1721.2,52.71,85.118,64.4,57.2 °F,78,South,2.7,2.8 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:20,8629.4,1640.9,15,15,22.8,22.8,23.9,23.9,29.52,1739,52.8,85.136,64.4,57.2 °F,78,SSW,2.5,2.6 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:25,8588.4,1638.9,15.5,9.4,22.3,22.3,22.8,22.8,29.5,1760.6,52.94,85.1,64.4,57.2 °F,78,South,3.2,3.4 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:30,9248.4,1710.3,16,16,23.2,23.2,23.7,23.7,29.5,1792.2,53.04,85.1,64.4,57.2 °F,78,South,2.4,2.4 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:35,10362.5,1820.1,14.3,14.3,21.5,21.5,21.9,21.9,29.5,1815.7,53.14,85.1,64.2,57.3 °F,79,SSW,1.8,1.8 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:40,10110.7,1813.5,15,15,19.9,19.9,20.1,20.1,29.49,1840.5,53.28,85.082,64,57.3 °F,79,South,2.1,2.1 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:45,10339.6,1815,14.2,14.2,20.8,20.8,21,21,29.46,1851.3,53.44,85.028,63.9,57.2 °F,79,SSW,2,2.0 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:50,10239.6,1823.4,13.4,13.4,19.9,19.9,19.9,19.9,29.4,1848.5,53.49,84.92,63.6,57.2 °F,80,WSW,1.9,1.9 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 00:55,10079.2,1804.5,15.1,15.1,20.3,20.3,21.2,21.2,29.4,1841.1,53.57,84.92,63.5,57.2 °F,80,WSW,0.7,0.7 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:00,10154.9,1814.7,14,9.9,19.3,15.5,19.6,19.6,29.4,1857.7,53.72,84.92,63.3,57.0 °F,80,WSW,0.6,0.6 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:05,10334.2,1836.3,12.9,11.5,18.9,18.9,20,20,29.4,1893.2,53.91,84.92,63.3,56.8 °F,80,SW,1.4,1.4 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:10,11485,1955.9,13.4,13.4,18,18,18.8,18.8,29.4,1916.2,54.01,84.92,63.3,56.9 °F,80,SW,1.1,1.1 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:15,11852,1995.4,13.1,13.1,18.3,18.3,18.7,18.7,29.4,1938.6,54.17,84.92,63.3,56.9 °F,80,SW,1,1.0 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:20,11626.8,1788.3,13,13,18.8,18.8,19.3,19.3,29.4,1963.6,54.28,84.92,63.3,56.8 °F,80,SW,1.7,1.7 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:25,11529.1,1979.7,12.9,10.2,17.8,16.2,18.1,18.1,29.41,1992.8,54.39,84.938,63.3,56.8 °F,80,SW,1.6,1.6 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:30,11609.2,1992.6,12.7,10.2,17.5,17.5,17.7,17.7,29.44,2016.9,54.5,84.992,63.3,56.8 °F,80,SW,1.4,1.4 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:35,11530.6,1985.6,11.1,12.3,16.5,16.5,18,18,29.4,2022.3,54.75,84.92,63.3,56.8 °F,80,SW,0.5,0.5 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:40,11668,2007.1,12.2,8.8,16.8,18.5,17.4,19.3,29.4,2033.3,55.55,84.92,63.1,57.1 °F,81,SW,1.8,1.8 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:45,11938.9,2048.8,12.3,12.3,17.3,17.3,18.1,18.1,29.4,2077.1,55.89,84.92,63.1,57.2 °F,81,SW,1,1.0 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:50,12188.5,2079.2,12,12,17,17,17.7,17.7,29.42,2122.6,56.25,84.956,63.1,57.1 °F,81,SW,0.6,0.6 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 01:55,12266.1,2103.1,11.7,11.7,17.4,17.4,18,18,29.43,2160.8,56.53,84.974,63.1,56.7 °F,80,SW,1.1,1.1 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:00,12679.2,1929.3,11.3,11.3,14.9,14.9,15.1,15.1,29.44,2192.2,56.72,84.992,63.1,56.6 °F,80,SSW,1.1,1.1 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:05,13208.7,2197.7,8.8,5.5,13.9,15.4,13.9,12.4,29.49,2221.8,56.9,85.082,63.1,56.6 °F,80,SW,1.3,1.3 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:10,13219.5,2212.4,11.5,11.5,15.9,15.9,16.2,16.2,29.49,2242,56.97,85.082,63.1,56.6 °F,80,SW,0.8,0.8 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:15,13140,2218.6,10.5,10.5,14.6,14.6,15.3,15.3,29.45,2269.5,56.99,85.01,63.1,56.5 °F,80,SW,1.6,1.6 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:20,13082,2206.7,10.8,10.8,15.1,15.1,15.7,15.7,29.5,2303,57.1,85.1,63.3,56.6 °F,79,SSW,1.9,1.9 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:25,13067.4,2199.3,10.8,10.8,15.6,15.6,15.8,15.8,29.5,2338.7,57.1,85.1,63.3,56.6 °F,79,South,1.5,1.5 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:30,13001.1,1988.8,9,6.1,13.8,13.8,13.9,13.9,29.5,2369.9,57.13,85.1,63.3,56.6 °F,79,SSW,1.1,1.1 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:35,13040.3,2199.7,10.7,10.7,14.7,14.7,14.9,14.9,29.5,2385.4,57.56,85.1,63.3,56.6 °F,79,SW,0.3,0.3 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:40,12946.9,1980,9,6.9,13.4,13.4,13.9,12.5,29.5,2383.1,57.9,85.1,63.3,56.5 °F,79,SSW,1.5,1.5 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:45,12840,2199.6,10.7,9.7,14.1,14.1,15.1,15.1,29.45,2370.9,57.95,85.01,63.3,56.6 °F,79,SSW,0.2,0.2 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:50,12861.3,2195,10.7,10.7,14.9,14.9,15.5,15.5,29.4,2365,58.13,84.92,63.1,56.4 °F,79,SSW,1.1,1.1 mph,30.36 in,0.00 in,0.00 in,0,0 w/m²
07/06/2021 02:55,12860.7,2199.4,10.2,8.4,14.5,14.5,14.6,14.6,29.43,2383.7,58.35,84.974,63.1,56.5 °F,80,SSW,0,0.0 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
