time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
28/05/2021 21:05,2580.7,117.8,9.8,8.7,12.8,12.8,12.9,12.9,25.49,466.4,41.47,77.882,61.1,45.1 °F,56,East,2.6,2.6 mph,30.34 in,0.00 in,0.06 in,0,3.2 w/m²
28/05/2021 21:10,1509.1,4.2,8.3,5.3,12,12,12.4,12.4,25.62,506.5,42.78,78.116,60.8,45.7 °F,58,East,2.5,2.6 mph,30.34 in,0.00 in,0.06 in,0,2.4 w/m²
28/05/2021 21:15,1505.6,8.5,9.7,9.7,12.9,12.9,12.9,12.9,25.88,552.9,43.4,78.584,60.5,46.2 °F,60,East,2.1,2.2 mph,30.34 in,0.00 in,0.06 in,0,1.7 w/m²
28/05/2021 21:20,1579,35.8,10,8.2,13,13,13.4,13.4,26.11,598.7,43.97,78.998,60.3,46.4 °F,60,ESE,3,3.1 mph,30.34 in,0.00 in,0.06 in,0,1.3 w/m²
28/05/2021 21:25,2768.1,152.7,9.5,9.5,12,12,11.2,11.2,26.32,653.8,44.13,79.376,60.2,46.8 °F,62,East,2.1,2.1 mph,30.34 in,0.00 in,0.06 in,0,0.7 w/m²
28/05/2021 21:30,3472.9,208.1,9.6,9.6,12.6,12.6,12.8,12.8,26.45,705.3,44.33,79.61,60.1,47.2 °F,63,East,3,3.2 mph,30.35 in,0.00 in,0.06 in,0,0.3 w/m²
28/05/2021 21:35,3632.9,257.4,9.6,6.8,11.9,11.9,12,12,26.59,766.6,44.97,79.862,59.9,47.6 °F,64,SE,3.2,3.2 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 21:40,4431.1,338.5,9.3,9.3,11.6,11.6,11.7,11.7,26.71,823,45.37,80.078,59.7,47.6 °F,64,East,1.9,1.9 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 21:45,4678.5,369.7,9.4,9.4,11.7,11.7,11.9,11.9,26.8,875.2,45.72,80.24,59.7,47.7 °F,65,East,2.4,2.4 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 21:50,4674.4,376.7,9.9,9.9,12.4,12.4,12.6,12.6,26.88,918.3,46.14,80.384,59.6,47.9 °F,65,East,2.7,2.8 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 21:55,4854.7,395.8,9.2,9.2,11.7,11.7,11.8,11.8,26.95,960,46.52,80.51,59.5,47.9 °F,65,East,2.9,3.0 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:00,5515.5,453.1,9.6,9.6,11.7,11.7,11.7,11.7,26.99,1004.1,46.93,80.582,59.3,47.9 °F,66,ESE,3,3.2 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:05,5579.4,466.5,9.6,4.7,12.2,12.2,12.6,12.6,27,1045.6,47.5,80.6,59.2,47.9 °F,67,ESE,3.1,3.2 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:10,5439.4,467.3,9,9,11.7,11.7,12,12,27.05,1086.2,48.21,80.69,59.1,48.1 °F,67,ESE,3,3.1 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:15,5742.4,479.3,8.8,8.8,11.1,11.1,11.3,11.3,27.09,1122.9,48.88,80.762,59.1,47.7 °F,66,East,4,4.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:20,6421.4,503.1,7.9,7.9,10.1,10.1,10.1,10.1,27.1,1159.8,49.37,80.78,59.1,47.8 °F,67,East,2.2,2.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:25,7506.2,561.2,9.1,9.1,11.3,11.3,11.7,11.7,27.1,1211.6,50.09,80.78,59,47.7 °F,67,ESE,2.2,2.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:30,7920,533.5,7.7,5.3,9.9,9.9,11.3,10.1,27.1,1258.8,50.52,80.78,59,47.6 °F,66,ENE,3.8,4.1 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:35,8033.6,601.2,8.5,8.5,10.7,10.7,10.8,10.8,27.1,1303.2,50.81,80.78,59,47.5 °F,66,ENE,2.4,2.5 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:40,9065.2,632.1,8.8,7.1,10.8,10.8,10.9,9.9,27.1,1342.3,51.16,80.78,58.9,47.5 °F,66,East,2.5,2.6 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:45,9337.7,639.2,8.6,6.2,11,11,11,11,27.14,1374,51.51,80.852,58.8,47.6 °F,67,ENE,2.3,2.4 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:50,9585.9,648.8,8.5,8.5,10.7,10.7,10.8,10.8,27.19,1411,51.86,80.942,58.7,47.7 °F,67,East,1.6,1.6 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 22:55,10275.6,672,8.1,4.8,9.8,9.8,9.8,9.8,27.2,1445.6,52.09,80.96,58.6,47.0 °F,66,ESE,2.7,2.8 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:00,10867.7,689,8,8,10,10,10,10,27.2,1478.9,52.43,80.96,58.4,45.6 °F,63,East,3.2,3.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:05,11083.5,704.4,8.2,8.2,9.8,9.8,9.8,9.8,27.2,1513.2,52.72,80.96,58.4,46.2 °F,64,East,2.5,2.5 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:10,11851.2,785.3,8,8,10.3,10.3,10.3,10.3,27.2,1548.2,52.99,80.96,58.4,46.6 °F,65,ESE,2.3,2.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:15,12833.1,898.9,7.5,7.5,9.8,9.8,9.9,9.9,27.2,1586.6,53.28,80.96,58.4,46.5 °F,65,ESE,2.7,2.9 mph,30.35 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:20,12728,901,7.3,4.3,9.1,9.1,9.1,9.1,27.2,1621.6,53.57,80.96,58.4,46.6 °F,65,ENE,2.5,2.6 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:25,12587.6,886.4,6.8,6.8,8.7,8.7,8.7,8.7,27.2,1655.5,53.82,80.96,58.4,46.7 °F,65,ENE,1.3,1.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:30,13435.3,991.3,7.6,7.6,9.6,9.6,10,10,27.2,1691.2,54.16,80.96,58.4,46.4 °F,64,ENE,2.1,2.2 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:35,13548.4,1002.7,7.9,7.9,9.6,9.6,9.7,9.7,27.2,1702.1,54.19,80.96,58.3,46.0 °F,64,ENE,2.1,2.1 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:40,13497,1011.6,7.4,7.4,9.1,9.1,9.1,9.1,27.2,1705.9,54.36,80.96,58.2,46.5 °F,65,East,2.4,2.5 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:45,13487.9,906.3,6.8,2.7,8.8,7.9,8.9,8,27.2,1714.6,54.5,80.96,58.1,46.5 °F,66,ESE,3.2,3.3 mph,30.36 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:50,13566.6,1021,7.3,7.3,9.4,9.4,9.4,9.4,27.21,1745.2,54.57,80.978,57.8,46.0 °F,65,ESE,2.9,3.1 mph,30.37 in,0.00 in,0.06 in,0,0 w/m²
28/05/2021 23:55,13809.9,958,7.1,4.9,8.8,8.8,8.9,8,27.21,1791.1,54.78,80.978,57.7,45.2 °F,63,ENE,3.4,3.6 mph,30.37 in,0.00 in,0.06 in,0,0 w/m²
29/05/2021 00:00,13983.9,1097.3,6.9,6.4,9,9,9.1,9.1,27.21,1828.2,55.03,80.978,57.7,45.8 °F,65,ENE,1.7,1.7 mph,30.37 in,0.00 in,0.06 in,0,0 w/m²
29/05/2021 00:05,14235.6,1105.1,7,7,9.1,9.1,9.2,9.2,27.2,1866,55.28,80.96,57.7,46.1 °F,66,East,2.4,2.5 mph,30.37 in,0.00 in,0.06 in,0,0 w/m²
29/05/2021 00:10,14849.2,1194,6.9,6.9,8.6,8.6,8.9,8.9,27.2,1898.6,55.52,80.96,57.7,46.7 °F,67,East,1.5,1.5 mph,30.37 in,0.00 in,0.00 in,0,0 w/m²
