time,CO2,temp,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
25/06/2021 21:10,461.8,26,49.72,78.8,63.5,52.9 °F,68,NNE,5.4,5.5 mph,30.10 in,0.00 in,0.01 in,0,4.6 w/m²
25/06/2021 21:15,493.5,26.09,50.25,78.962,63.3,52.6 °F,68,NNE,5.4,5.6 mph,30.11 in,0.00 in,0.01 in,0,4.2 w/m²
25/06/2021 21:20,562.4,26.23,50.72,79.214,63.2,52.9 °F,69,NNE,5,5.2 mph,30.11 in,0.00 in,0.01 in,0,3.7 w/m²
25/06/2021 21:25,641.7,26.41,51.11,79.538,63,52.7 °F,69,North,4.8,4.9 mph,30.11 in,0.00 in,0.01 in,0,3.1 w/m²
25/06/2021 21:30,684.6,26.55,51.29,79.79,62.9,52.7 °F,69,NE,3.7,3.7 mph,30.11 in,0.00 in,0.01 in,0,2.5 w/m²
25/06/2021 21:35,731.8,26.67,51.48,80.006,62.9,52.7 °F,69,ENE,2.5,2.5 mph,30.11 in,0.00 in,0.01 in,0,1.8 w/m²
25/06/2021 21:40,785.6,26.73,51.65,80.114,62.8,53.0 °F,71,NE,3.7,3.9 mph,30.11 in,0.00 in,0.01 in,0,1 w/m²
25/06/2021 21:45,835.9,26.8,51.93,80.24,62.4,53.4 °F,73,NE,4,4.3 mph,30.11 in,0.00 in,0.01 in,0,0.7 w/m²
25/06/2021 21:50,883.8,26.83,52.15,80.294,62.2,53.7 °F,74,East,4.4,4.7 mph,30.12 in,0.00 in,0.01 in,0,0.3 w/m²
25/06/2021 21:55,914.2,26.89,52.35,80.402,62.1,53.8 °F,74,ENE,2.7,2.8 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:00,951,26.9,52.55,80.42,62,53.8 °F,74,NE,2.6,2.7 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:05,1002,26.94,52.81,80.492,61.8,53.9 °F,75,ENE,3.7,3.7 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:10,1043.5,27,53.13,80.6,61.8,54.0 °F,75,NE,3.8,4.0 mph,30.11 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:15,1088.2,27,53.48,80.6,61.7,54.0 °F,76,ENE,2.8,2.9 mph,30.11 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:20,1146.7,27,53.88,80.6,61.7,53.9 °F,75,ENE,3.4,3.5 mph,30.11 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:25,1207,27.08,54.48,80.744,61.5,53.6 °F,75,ENE,4,4.3 mph,30.11 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:30,1257.9,27.18,57.94,80.924,61.5,53.6 °F,75,ENE,2.3,2.4 mph,30.11 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:35,1291.9,27.2,56.78,80.96,61.5,53.4 °F,75,East,3,3.1 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:40,1328.3,27.29,56.57,81.122,61.5,53.1 °F,74,East,2.9,3.0 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:45,1364.6,27.29,56.56,81.122,61.3,52.8 °F,74,ENE,2.7,2.8 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:50,1399.8,27.36,56.74,81.248,61.3,53.2 °F,75,ENE,2.7,2.8 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 22:55,1432,27.4,56.86,81.32,61.2,53.3 °F,75,NE,1.9,1.9 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:00,1473.8,27.4,56.98,81.32,61.1,53.2 °F,75,NE,2,2.0 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:05,1505.3,27.4,57.13,81.32,61.1,53.2 °F,75,NE,2,2.0 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:10,1534.5,27.46,57.34,81.428,61.1,53.0 °F,75,NE,2.1,2.1 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:15,1569.3,27.48,57.63,81.464,61.3,52.8 °F,74,NE,2.6,2.7 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:20,1602.7,27.5,57.83,81.5,61.3,52.8 °F,74,NE,2.5,2.5 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:25,1634.4,27.5,58.1,81.5,61.3,52.8 °F,74,ENE,3.1,3.2 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:30,1667.3,27.5,58.29,81.5,61.3,52.8 °F,74,ENE,1.9,1.9 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:35,1680.4,27.5,58.43,81.5,61.3,53.0 °F,74,ENE,2.7,2.7 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:40,1691.1,27.5,58.58,81.5,61,53.1 °F,75,NNE,3.1,3.2 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:45,1711.5,27.51,58.68,81.518,60.8,53.2 °F,76,NNE,1.9,1.9 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:50,1733.6,27.5,58.72,81.5,60.7,53.6 °F,77,North,3.2,3.3 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
25/06/2021 23:55,1733.4,27.56,58.73,81.608,60.5,53.6 °F,78,North,3.1,3.3 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
26/06/2021 00:00,1723.4,27.56,58.84,81.608,60.4,53.7 °F,79,NE,2.9,3.0 mph,30.12 in,0.00 in,0.01 in,0,0 w/m²
26/06/2021 00:05,1738.6,27.6,59.01,81.68,60.4,53.8 °F,79,NNE,2.3,2.3 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:10,1757.7,27.6,59.18,81.68,59.9,54.2 °F,82,NNE,2.9,2.9 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:15,1777.8,27.6,59.2,81.68,59.5,54.4 °F,83,NNE,3,3.0 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:20,1789.3,27.6,59.2,81.68,59.3,54.5 °F,84,NE,3.3,3.5 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:25,1785.1,27.59,59.46,81.662,59.1,54.6 °F,85,NE,3,3.1 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:30,1802.4,27.63,59.81,81.734,59,54.6 °F,86,NE,2.7,2.7 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:35,1815.5,27.7,60.12,81.86,58.8,54.5 °F,86,NNE,3,3.1 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:40,1827.7,27.76,60.3,81.968,58.6,54.8 °F,87,NNE,1.9,1.9 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:45,1842.6,27.8,60.39,82.04,58.5,54.7 °F,87,NNE,3.4,3.6 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:50,1858.3,27.8,60.41,82.04,58.1,54.5 °F,87,North,2.4,2.4 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 00:55,1877.2,27.81,60.55,82.058,58.2,54.6 °F,88,NNE,1.9,2.0 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:00,1892.6,27.8,60.65,82.04,58.1,54.6 °F,88,NNE,2,2.0 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:05,1905.1,27.8,60.7,82.04,58.1,54.6 °F,88,NNE,1.5,1.5 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:10,1915.4,27.8,60.76,82.04,57.9,54.5 °F,88,North,3.3,3.4 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:15,1925.8,27.8,60.8,82.04,57.9,54.8 °F,89,NNE,3.2,3.4 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:20,1938.2,27.8,60.8,82.04,57.7,54.7 °F,89,NNE,3.7,3.9 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:25,1951,27.8,60.8,82.04,57.7,54.8 °F,90,NE,4.5,4.9 mph,30.12 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:30,1964.3,27.8,60.82,82.04,57.7,54.8 °F,90,NNE,2.6,2.7 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:35,1973.7,27.8,60.89,82.04,57.7,54.8 °F,90,NNE,4.1,4.4 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:40,1978.3,27.78,60.89,82.004,57.7,54.8 °F,90,NNE,3.8,4.0 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:45,1989.7,27.8,60.9,82.04,57.9,54.9 °F,90,NNE,3.2,3.4 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
26/06/2021 01:50,2001.2,27.8,60.9,82.04,57.9,54.9 °F,89,NNE,2.2,2.3 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
