time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
27/05/2021 21:00,606.7,0,18.4,18.6,24.3,24.3,24.6,24.6,25.66,473.9,42.99,78.188,60.3,49.0 °F,67,ENE,4,4.3 mph,30.28 in,0.00 in,0.00 in,0,26.7 w/m²
27/05/2021 21:05,963.4,0,17.9,17.9,23.5,23.5,23.7,23.7,25.7,517.9,43.7,78.26,60.2,49.3 °F,68,East,4.7,5.0 mph,30.28 in,0.00 in,0.00 in,0,26.4 w/m²
27/05/2021 21:10,1256.6,2.9,17.5,17.5,23.8,23.8,24.1,24.1,25.91,574.3,43.88,78.638,60,49.4 °F,68,East,3.8,4.0 mph,30.28 in,0.00 in,0.00 in,0,29.5 w/m²
27/05/2021 21:15,1523.7,48.4,17.2,17.2,22.3,22.3,22.5,22.5,26.07,613.3,43.97,78.926,59.9,49.4 °F,68,East,4.7,5.0 mph,30.28 in,0.00 in,0.00 in,0,29.9 w/m²
27/05/2021 21:20,1660.4,82.9,17,17,22.5,22.5,23.4,23.4,26.21,652.5,44.06,79.178,59.9,49.8 °F,69,East,3.9,4.1 mph,30.28 in,0.00 in,0.00 in,0,29.7 w/m²
27/05/2021 21:25,1771.3,91.7,14.5,7.9,19.6,19.6,19.7,19.7,26.3,688.6,44.1,79.34,59.7,49.9 °F,70,East,5,5.4 mph,30.29 in,0.00 in,0.00 in,0,29.9 w/m²
27/05/2021 21:30,1947.5,122.6,16.4,16.4,21.5,21.5,21.5,21.5,26.4,728,44.5,79.52,59.5,50.0 °F,71,East,5.2,5.5 mph,30.29 in,0.00 in,0.00 in,0,26.1 w/m²
27/05/2021 21:35,2692.7,167.4,14.1,12.7,18.4,18.4,18.5,18.5,26.47,759,44.86,79.646,59.5,50.5 °F,72,East,3.1,3.3 mph,30.29 in,0.00 in,0.00 in,0,27.7 w/m²
27/05/2021 21:40,3588.5,269.6,15.7,11,19.8,19.8,20.2,20.2,26.5,796.6,45.19,79.7,59.2,50.4 °F,73,East,2.7,2.8 mph,30.29 in,0.00 in,0.00 in,0,23.3 w/m²
27/05/2021 21:45,3511.3,274,16.3,16.3,21.1,21.1,21.2,21.2,26.56,842.2,45.64,79.808,59.1,50.7 °F,74,East,3.3,3.5 mph,30.29 in,0.00 in,0.00 in,0,25.7 w/m²
27/05/2021 21:50,3566.5,288.1,15.9,15.9,20.2,20.2,20.2,20.2,26.6,878.5,45.98,79.88,59,50.7 °F,74,ENE,4.4,4.7 mph,30.30 in,0.00 in,0.00 in,0,26.1 w/m²
27/05/2021 21:55,3636.1,301.3,15.1,15.1,19.5,19.5,19.5,19.5,26.6,917.8,46.3,79.88,59,50.8 °F,74,ENE,3.6,3.8 mph,30.30 in,0.00 in,0.00 in,0,27.6 w/m²
27/05/2021 22:00,3650.2,302.7,15.6,15.6,20.5,20.5,20.5,20.5,26.6,957.3,46.68,79.88,59,51.0 °F,75,ENE,3.6,3.9 mph,30.30 in,0.00 in,0.00 in,0,28.5 w/m²
27/05/2021 22:05,3723.3,316.5,15.3,15.3,19.9,19.9,20.1,20.1,26.63,991,47.01,79.934,58.7,50.8 °F,75,ENE,3.7,3.9 mph,30.30 in,0.00 in,0.00 in,0,29 w/m²
27/05/2021 22:10,4144.7,355,15,15,19.7,19.7,19.8,19.8,26.68,1024,47.39,80.024,58.5,50.7 °F,76,ENE,2.6,2.6 mph,30.30 in,0.00 in,0.00 in,0,30.2 w/m²
27/05/2021 22:15,4963.2,428.7,15.8,15.8,20.7,20.7,20.8,20.8,26.7,1059.6,47.91,80.06,58.4,50.7 °F,76,ENE,2.3,2.4 mph,30.30 in,0.00 in,0.00 in,0,30.1 w/m²
27/05/2021 22:20,5291.5,465.5,15.4,13.8,19.5,19.5,19.6,19.6,26.7,1088.4,48.16,80.06,58.2,50.5 °F,76,ENE,2.7,2.9 mph,30.30 in,0.00 in,0.00 in,0,28.9 w/m²
27/05/2021 22:25,5895.4,492.1,15.1,10.6,20,20,20.3,20.3,26.78,1118.9,48.51,80.204,58.1,50.9 °F,77,ENE,3,3.2 mph,30.30 in,0.00 in,0.00 in,0,29.9 w/m²
27/05/2021 22:30,5954.1,499.6,14.7,14.7,18.9,18.9,19.2,19.2,26.8,1153.2,48.74,80.24,58.1,51.0 °F,77,ENE,2.5,2.5 mph,30.30 in,0.00 in,0.00 in,0,27.6 w/m²
27/05/2021 22:35,6029,509.7,15.5,15.5,20,20,20.3,20.3,26.79,1187.2,49.01,80.222,57.9,50.8 °F,77,East,1.4,1.4 mph,30.30 in,0.00 in,0.00 in,0,29.2 w/m²
27/05/2021 22:40,7419.3,545.5,13.9,15.6,20.4,20.4,20.5,20.5,26.8,1215.5,49.36,80.24,57.5,50.5 °F,78,East,2.8,2.9 mph,30.30 in,0.00 in,0.00 in,0,28.4 w/m²
27/05/2021 22:45,7404.2,556.1,14.6,14.6,18.6,18.6,18.8,18.8,26.8,1247.5,49.63,80.24,57.3,50.3 °F,78,ESE,3,3.1 mph,30.31 in,0.00 in,0.00 in,0,28.4 w/m²
27/05/2021 22:50,7929.7,573.3,14.2,14.2,18.7,18.7,19.5,19.5,26.8,1273.9,49.82,80.24,57.2,50.7 °F,79,East,1.9,1.9 mph,30.31 in,0.00 in,0.00 in,0,27.3 w/m²
27/05/2021 22:55,8544.1,591.2,14.6,14.6,18.6,18.6,18.9,18.9,26.81,1304.8,50.34,80.258,57.2,50.7 °F,79,East,2.8,2.9 mph,30.30 in,0.00 in,0.00 in,0,27.4 w/m²
27/05/2021 23:00,8559.3,593.8,14.2,7.6,18.8,16.9,17,18.9,26.85,1332,50.7,80.33,57,50.6 °F,79,East,2.5,2.6 mph,30.31 in,0.00 in,0.00 in,0,29.6 w/m²
27/05/2021 23:05,9399.5,621.9,13.8,13.8,17.9,17.9,18,18,26.89,1363,50.96,80.402,56.7,50.6 °F,80,ENE,1.8,1.8 mph,30.31 in,0.00 in,0.00 in,0,24.1 w/m²
27/05/2021 23:10,10108.3,644.7,14.1,14.1,18.9,18.9,19.5,19.5,26.9,1390,51.27,80.42,56.5,50.8 °F,81,East,3.2,3.4 mph,30.31 in,0.00 in,0.00 in,0,24.4 w/m²
