time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
03/06/2021 21:00,493.3,0,10.4,10.4,13.4,13.4,14.1,14.1,27.24,413.2,49.05,81.032,67.8,54.0 °F,61,NNW,2.7,2.8 mph,30.24 in,0.00 in,0.00 in,0,3.1 w/m²
03/06/2021 21:05,642.1,0,10.7,6.5,13.9,12.4,14.2,14.2,27.36,460.5,50.26,81.248,67.6,53.6 °F,61,NW,1.8,1.8 mph,30.24 in,0.00 in,0.00 in,0,2.4 w/m²
03/06/2021 21:10,804.5,0.2,11.5,11.5,14.5,14.5,14.6,14.6,27.64,519,50.61,81.752,67.6,53.6 °F,61,WNW,1.4,1.4 mph,30.24 in,0.00 in,0.00 in,0,2 w/m²
03/06/2021 21:15,1424.3,134.5,11.2,11.2,15.4,15.4,15.6,15.6,27.91,574.5,50.88,82.238,67.6,53.7 °F,61,NNE,0.9,0.9 mph,30.24 in,0.00 in,0.00 in,0,1.4 w/m²
03/06/2021 21:20,1471.9,172.1,10.6,10.6,13.9,13.9,14,14,28.1,635.1,51.08,82.58,67.4,53.9 °F,62,NNW,3.1,3.2 mph,30.24 in,0.00 in,0.00 in,0,1 w/m²
03/06/2021 21:25,1484.3,193.9,10.7,10.7,14.1,14.1,14.2,14.2,28.22,690.8,51.2,82.796,67.1,54.1 °F,63,NNW,3.6,3.9 mph,30.24 in,0.00 in,0.00 in,0,0.6 w/m²
03/06/2021 21:30,1502.5,213.4,11.3,11.3,15,15,15.4,15.4,28.3,738.4,51.46,82.94,66.9,53.9 °F,63,NW,3.6,3.8 mph,30.24 in,0.00 in,0.00 in,0,0.4 w/m²
03/06/2021 21:35,1523.8,230.3,11.1,11.1,14.2,14.2,15.2,15.2,28.35,768.5,51.77,83.03,66.7,54.0 °F,64,NNW,2.4,2.5 mph,30.24 in,0.00 in,0.00 in,0,0.4 w/m²
03/06/2021 21:40,1536,248.4,11.1,11.1,15.2,15.2,15.4,15.4,28.4,810.9,52.13,83.12,66.7,54.0 °F,64,NNW,2.4,2.5 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 21:45,1572.6,271.6,11.3,11.3,15,15,15.4,15.4,28.4,856.5,52.56,83.12,66.4,54.0 °F,64,NNW,3.7,3.9 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 21:50,1670.5,289.2,11.2,11.2,13.8,13.8,13.9,13.9,28.4,907.2,53.04,83.12,66.3,54.2 °F,65,NNW,3.9,4.3 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 21:55,1793.3,275.8,10.1,5.5,14.9,13.4,13.6,13.6,28.46,965,53.42,83.228,65.9,53.8 °F,65,NNW,4.3,4.6 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:00,2181.1,348.2,11.3,11.3,14.7,14.7,14.9,14.9,28.49,1010,53.78,83.282,65.8,53.7 °F,65,NNW,2.6,2.7 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:05,2283.6,367.8,11.1,11.1,15.5,15.5,15.6,15.6,28.5,1056.9,54.17,83.3,65.8,53.7 °F,65,NNW,2.4,2.5 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:10,2332.5,379,10.9,10.9,14.5,14.5,14.7,14.7,28.5,1113.1,54.61,83.3,65.7,53.7 °F,65,NNW,3.4,3.6 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:15,2335.4,384.8,10.3,10.3,13.3,13.3,13.3,13.3,28.5,1162,54.76,83.3,65.6,53.7 °F,66,NNW,3.5,3.8 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:20,2364.2,392.7,9.9,6.2,14.1,14.1,14.4,14.4,28.57,1204,55.01,83.426,65.6,53.7 °F,66,NW,2.7,2.8 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:25,2394.2,404.8,10.5,10.5,13.8,13.8,13.9,13.9,28.6,1239.9,55.28,83.48,65.6,53.7 °F,66,NNW,3.6,3.8 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
03/06/2021 22:30,2392.1,411.1,10.2,10.2,14.1,14.1,14.4,14.4,28.6,1263.3,55.51,83.48,65.4,53.3 °F,65,NNW,3.1,3.3 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
