time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
01/06/2021 21:05,627.1,7.4,16.3,10.8,21.5,19.3,22.7,22.7,28.2,419.3,37.63,82.76,68.8,43.3 °F,40,East,6,6.5 mph,30.05 in,0.00 in,0.00 in,0,4.3 w/m²
01/06/2021 21:10,709.3,0,16.8,14.8,22,22,22.1,22.1,28.28,484.9,39.03,82.904,68.7,43.4 °F,40,East,3.6,3.8 mph,30.05 in,0.00 in,0.00 in,0,3.3 w/m²
01/06/2021 21:15,787.8,9.6,16.5,16.5,21.6,21.6,21.7,21.7,28.41,528.2,39.72,83.138,68.3,43.6 °F,41,East,5.9,6.4 mph,30.05 in,0.00 in,0.00 in,0,2.7 w/m²
01/06/2021 21:20,861.5,40,16.2,16.2,21.3,21.3,21.7,21.7,28.52,568.1,40.4,83.336,68.3,43.8 °F,41,East,4,4.3 mph,30.05 in,0.00 in, ,0,1.9 w/m²
01/06/2021 21:25,941.1,74.4,16.4,16.4,20.2,20.2,20.4,20.4,28.61,612.2,41.13,83.498,68.1,44.0 °F,42,East,3.4,3.5 mph,30.05 in,0.00 in,0.00 in,0,1.3 w/m²
01/06/2021 21:30,1005.7,105,16.8,15.1,21.1,21.1,21.3,21.3,28.69,651.3,41.78,83.642,68.1,44.5 °F,43,ENE,4,4.2 mph,30.05 in,0.00 in,0.00 in,0,0.7 w/m²
01/06/2021 21:35,1068.6,133.8,16.2,14.5,21.1,21.1,21.1,21.1,28.74,699.5,42.47,83.732,67.9,44.8 °F,44,ENE,5,5.5 mph,30.06 in,0.00 in,0.00 in,0,0.4 w/m²
01/06/2021 21:40,1124.1,160.5,15.9,15.9,20.7,20.7,21.2,21.2,28.82,734.5,42.95,83.876,67.7,44.8 °F,44,East,5.4,5.9 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
01/06/2021 21:45,1202.6,197,16.3,10.1,20.7,20.7,21,21,28.9,780.9,43.79,84.02,67.6,44.7 °F,44,ENE,4.7,5.1 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
01/06/2021 21:50,1351.9,261,17,17,21.6,21.6,22,22,28.9,835.4,44.9,84.02,67.2,44.7 °F,45,ENE,4.1,4.4 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
01/06/2021 21:55,1389.9,285.9,17.2,17.2,22.4,22.4,22.5,22.5,28.9,909.8,45.73,84.02,67,44.9 °F,45,East,2.6,2.8 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
01/06/2021 22:00,1431,309.1,16.1,16.1,21.6,21.6,22.4,22.4,28.9,992.9,46.48,84.02,66.8,44.7 °F,45,East,2.5,2.6 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
