time,eco2,pm100_env,pm10_env,pm25_env,TVOC,pm100_standard,pm10_standard,pm25_standard,CO2,hum_in,tem,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
14/06/2021 21:00,400.9,12,10.3,12.1,1,12.1,10.3,12.1,436.1,49.91,29.05,84.29,74,58.1 °F,58,North,4.5,4.8 mph,30.25 in,0.00 in,0.00 in,0,8 w/m²
14/06/2021 21:05,400.9,12.5,9.6,12,1,12.3,9.6,12,445.3,50.04,29.01,84.218,73.8,58.0 °F,58,North,4.8,5.2 mph,30.24 in,0.00 in,0.00 in,0,6 w/m²
14/06/2021 21:10,400.9,12.9,9.8,12.6,1,12.9,9.8,12.6,454.8,50.57,29.07,84.326,73.6,58.2 °F,59,North,4.8,5.1 mph,30.25 in,0.00 in,0.00 in,0,4.5 w/m²
14/06/2021 21:15,401,13.6,10.6,13,1,13.3,10.6,13,458.2,50.87,29.13,84.434,73.4,58.6 °F,60,North,4.4,4.7 mph,30.24 in,0.00 in,0.00 in,0,3 w/m²
14/06/2021 21:20,400.9,12.3,9.4,12.1,1,12.4,9.4,12.1,460.1,51.16,29.2,84.56,73.3,58.6 °F,60,NNE,4.2,4.5 mph,30.25 in,0.00 in,0.00 in,0,1.7 w/m²
14/06/2021 21:25,400.9,14,11.3,14.3,1,14.3,11.3,14.3,484.1,51.5,29.29,84.722,73,58.8 °F,61,NNE,4.8,5.2 mph,30.25 in,0.00 in,0.00 in,0,1.3 w/m²
14/06/2021 21:30,400.9,13.8,10.3,13.3,1,13.3,10.3,13.3,531,52.02,29.39,84.902,72.7,59.0 °F,62,NNE,5,5.4 mph,30.26 in,0.00 in,0.00 in,0,1.1 w/m²
14/06/2021 21:35,400.9,13.3,10.6,12.8,1,13.4,10.6,12.8,584.7,52.97,29.48,85.064,72.4,58.9 °F,63,NNE,6.4,7.0 mph,30.26 in,0.00 in,0.00 in,0,0.9 w/m²
14/06/2021 21:40,400.9,12.5,9.9,12.4,1,12.5,9.9,12.4,636.9,53.35,29.59,85.262,72.2,58.9 °F,63,NNE,5.4,5.8 mph,30.25 in,0.00 in,0.00 in,0,0.6 w/m²
14/06/2021 21:45,400.9,12.7,10.5,12.8,1,12.8,10.5,12.8,681.8,53.78,29.64,85.352,71.7,59.0 °F,64,North,5.6,5.9 mph,30.26 in,0.00 in,0.00 in,0,0.3 w/m²
14/06/2021 21:50,400.9,12.7,9.7,12.6,1,12.8,9.7,12.6,735.6,54.17,29.7,85.46,71.7,59.0 °F,64,NNE,5.2,5.6 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 21:55,400.9,13.2,9.8,12.8,1,13,9.8,12.8,772.1,54.88,29.73,85.514,71.6,59.1 °F,65,NNE,4.3,4.5 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 22:00,400.9,11.8,9.5,12.1,1,12.1,9.5,12.1,820.7,55.55,29.8,85.64,71.4,59.3 °F,66,NE,4,4.2 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 22:05,400.9,11.9,9.4,11.7,1,11.8,9.4,11.7,872.2,55.97,29.79,85.622,71.3,59.3 °F,66,,3.8,4.0 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 22:10,401,11.6,9.2,11.7,1,11.7,9.2,11.7,917.7,56.45,29.8,85.64,71.2,59.2 °F,66,NNE,4.6,5.0 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 22:15,400.9,11.9,9.5,11.6,1,11.8,9.5,11.6,958.2,56.88,29.84,85.712,71.2,59.2 °F,66,NE,3.7,3.9 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
