time,CO2,temp,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
29/06/2021 16:40,662.7,25.44,57.42,77.792,59.5,56.3 °F,89,NNW,3.5,3.7 mph,30.11 in,0.00 in,0.07 in,1,94.6 w/m²
29/06/2021 16:45,714.4,25.52,58.3,77.936,59.6,56.3 °F,89,NNW,3.8,4.0 mph,30.12 in,0.00 in,0.07 in,1,146.2 w/m²
29/06/2021 16:50,775.2,25.7,58.71,78.26,59.5,55.9 °F,88,NNW,3.2,3.3 mph,30.12 in,0.00 in,0.07 in,1,146.7 w/m²
29/06/2021 16:55,845.6,25.91,58.97,78.638,59.8,56.2 °F,88,NNW,3.7,3.8 mph,30.11 in,0.00 in,0.07 in,1,143 w/m²
29/06/2021 17:00,904.5,26.08,58.95,78.944,60,56.3 °F,87,NW,5.3,5.5 mph,30.11 in,0.00 in,0.07 in,1,149.6 w/m²
29/06/2021 17:05,967.3,26.23,58.99,79.214,60.2,56.4 °F,87,,3.6,3.8 mph,30.11 in,0.00 in,0.07 in,1,118.6 w/m²
29/06/2021 17:10,1021.9,26.37,59.15,79.466,60.4,56.2 °F,86,NNE,3.9,4.2 mph,30.11 in,0.00 in,0.07 in,1,110.5 w/m²
29/06/2021 17:15,1087,26.44,59.53,79.592,60.2,55.9 °F,86,,2.2,2.2 mph,30.11 in,0.00 in,0.07 in,1,110.9 w/m²
29/06/2021 17:20,1145.2,26.53,59.69,79.754,60.5,56.0 °F,85,North,1.7,1.7 mph,30.11 in,0.00 in,0.07 in,1,116.4 w/m²
29/06/2021 17:25,1200.4,26.6,59.99,79.88,60.7,56.3 °F,85,NNE,1.7,1.7 mph,30.12 in,0.00 in,0.07 in,1,136.6 w/m²
29/06/2021 17:30,1262.7,26.69,60.17,80.042,60.9,56.2 °F,85,NE,2.9,3.1 mph,30.12 in,0.00 in,0.07 in,1,150.1 w/m²
29/06/2021 17:35,1324.4,26.7,60.24,80.06,60.8,55.7 °F,84,NNE,3.3,3.5 mph,30.12 in,0.00 in,0.07 in,1,154.9 w/m²
29/06/2021 17:40,1372.5,26.71,60.4,80.078,61,55.7 °F,83,North,3.3,3.4 mph,30.12 in,0.00 in,0.07 in,1,143.7 w/m²
29/06/2021 17:45,1414.4,26.74,60.56,80.132,61.3,55.9 °F,83,NNE,3.3,3.5 mph,30.12 in,0.00 in,0.07 in,1,79.2 w/m²
29/06/2021 17:50,1463.2,26.79,60.83,80.222,61.3,55.6 °F,82,NE,2.4,2.4 mph,30.12 in,0.00 in,0.07 in,1,83 w/m²
29/06/2021 17:55,1514.5,26.8,60.96,80.24,61.1,55.6 °F,82,NNE,3.1,3.1 mph,30.12 in,0.00 in,0.07 in,1,83 w/m²
29/06/2021 18:00,1552.8,26.88,61.22,80.384,61.3,55.7 °F,82,NNE,2.4,2.5 mph,30.12 in,0.00 in,0.07 in,1,78.9 w/m²
