time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
10/06/2021 23:00,768.5,109.2,5.8,5.8,7,7,7,7,29.21,456.9,50.55,84.578,66.1,59.6 °F,80,SW,1.4,1.4 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:05,1053.4,209.4,7.1,7.1,9.3,9.3,9.5,9.5,29.23,488.7,51.27,84.614,65.9,59.5 °F,80,SSE,2.1,2.2 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:10,1435.8,364.4,6.5,6.5,9.7,9.7,10,10,29.32,550,52.09,84.776,65.8,59.7 °F,81,South,2.3,2.4 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:15,1550,403.3,6.6,6.6,8.9,8.9,9.2,9.2,29.43,614.8,52.57,84.974,65.7,59.7 °F,81,SSW,2.2,2.3 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:20,2182.7,492.9,7,7,8.9,8.9,8.9,8.9,29.55,676.3,52.86,85.19,65.4,59.7 °F,82,South,2,2.0 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:25,2562.2,545,6,6,8.2,8.2,8.2,8.2,29.67,718,53.15,85.406,65.3,59.7 °F,82,South,1.9,2.0 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:30,2854,583.1,6.7,6.7,9.3,9.3,9.4,9.4,29.7,761.5,53.31,85.46,65,59.2 °F,82,SSE,2.8,2.9 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:35,3298.8,634.7,6.7,6.7,9,9,9.3,9.3,29.72,802.1,53.51,85.496,64.9,59.4 °F,83,South,2.7,2.8 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:40,3637.7,679.9,6.3,6.3,8.8,8.8,9.1,9.1,29.73,845.8,53.74,85.514,64.9,59.5 °F,83,South,2.7,2.7 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:45,3715.5,710.6,7.1,7.1,9.4,9.4,9.7,9.7,29.77,890.7,54.03,85.586,64.6,59.2 °F,83,South,2.9,3.0 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
10/06/2021 23:50,3898.3,783.4,6.6,6.6,9,9,9.5,9.5,29.8,933.5,54.37,85.64,64.4,59.1 °F,83,SSW,2.5,2.6 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
