time,CO2,temp,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
01/07/2021 22:15,717.7,27.1,47.7,80.78,66.6,52.3 °F,60,ENE,2,2.1 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:20,818.4,27.1,48.47,80.78,66.5,52.0 °F,60,East,2.6,2.7 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:25,1001.5,27.21,49.32,80.978,66.5,51.8 °F,60,SE,2.8,2.9 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:30,1097.7,27.32,49.95,81.176,66.5,51.5 °F,59,SSE,3.7,4.0 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:35,1277.3,27.42,50.59,81.356,66.5,51.6 °F,59,SSE,2.2,2.2 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:40,1396.3,27.52,51.19,81.536,66.4,51.6 °F,59,South,3.1,3.3 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:45,1540.9,27.62,51.83,81.716,66.2,51.7 °F,60,SSE,3.3,3.6 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:50,1683.9,27.7,52.41,81.86,65.9,51.3 °F,60,SSE,3,3.1 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 22:55,1847.3,27.78,53.09,82.004,65.8,51.2 °F,59,South,3.5,3.7 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:00,1963.9,27.84,53.66,82.112,65.8,51.3 °F,60,SSE,2.9,3.0 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:05,2053.9,27.88,54.13,82.184,65.7,51.1 °F,59,SSE,3.2,3.3 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:10,2137.6,27.9,54.54,82.22,65.6,50.6 °F,59,SSE,2.4,2.5 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:15,2235.6,27.91,54.92,82.238,65.6,50.1 °F,58,SE,3.9,4.2 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:20,2344.4,27.96,55.4,82.328,65.6,50.0 °F,57,SE,2.6,2.7 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:25,2342.2,27.99,55.33,82.382,65.7,49.8 °F,57,SSE,2.6,2.6 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:30,2372.5,28,55.46,82.4,65.7,50.2 °F,58,SE,2.6,2.7 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:35,2402.1,27.97,55.59,82.346,65.4,50.2 °F,58,SSW,2.6,2.7 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:40,2394.7,27.9,56.4,82.22,65.4,50.2 °F,58,South,2.8,3.0 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:45,2461.7,27.9,57.16,82.22,65.5,50.2 °F,58,SSE,2.2,2.3 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:50,2458.9,27.89,57.2,82.202,65.4,50.5 °F,59,SSE,2.8,2.9 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
01/07/2021 23:55,2452,27.86,57.2,82.148,65.5,50.9 °F,59,SSE,2.1,2.1 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
02/07/2021 00:00,2470.3,27.81,57.55,82.058,65.4,51.4 °F,61,South,2.2,2.2 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
02/07/2021 00:05,2520.1,27.8,58.24,82.04,65.3,51.8 °F,62,SSE,2.1,2.2 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
02/07/2021 00:10,2566,27.81,58.84,82.058,65.3,51.8 °F,62,SE,2.3,2.3 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
02/07/2021 00:15,2631.7,27.86,59.3,82.148,65.3,51.7 °F,61,SSE,2.3,2.4 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
