time,eco2,pm100_env,pm10_env,pm25_env,TVOC,pm100_standard,pm10_standard,pm25_standard,CO2,hum_in,tem,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
18/06/2021 21:00,400.9,0.7,0.4,0.8,1,0.8,0.4,0.8,398.2,55.56,24.14,75.452,58.2,56.8 °F,95,NNE,4.7,4.9 mph,30.05 in,0.18 in,0.45 in,1,89.6 w/m²
18/06/2021 21:05,400.9,17,7,13.1,1,14.9,7,13.1,457.9,57.78,24.2,75.56,58.2,56.8 °F,95,NNE,5.2,5.5 mph,30.04 in,0.09 in,0.45 in,1,81.3 w/m²
18/06/2021 21:10,400.9,23.9,10.8,20.8,1,23.8,10.8,20.8,544.5,59.01,24.48,76.064,58.2,56.8 °F,95,NNE,4.4,4.7 mph,30.04 in,0.00 in,0.45 in,0,51.1 w/m²
18/06/2021 21:15,401,23.1,10.9,19.4,1,23.8,10.9,19.4,619.4,59.76,24.88,76.784,58.2,56.8 °F,95,NNE,5.6,6.0 mph,30.04 in,0.09 in,0.47 in,0,50.8 w/m²
18/06/2021 21:20,400.9,21.2,10.2,18.4,1,20.8,10.2,18.4,733.7,60.74,25.25,77.45,58.2,56.8 °F,95,NNE,5.4,5.7 mph,30.04 in,0.09 in,0.47 in,1,81 w/m²
18/06/2021 21:25,400.9,22.2,10.2,21.1,1,22.6,10.2,21.1,793.6,61.5,25.51,77.918,58.4,56.9 °F,95,North,5.2,5.6 mph,30.04 in,0.09 in,0.48 in,1,98.4 w/m²
18/06/2021 21:30,400.9,19.5,9.4,17.4,1,19.4,9.4,17.4,840,62.19,25.75,78.35,58.4,56.8 °F,94,NNE,5.7,6.1 mph,30.04 in,0.09 in,0.48 in,1,92.7 w/m²
18/06/2021 21:35,400.9,19.6,9,16.9,1,19.1,9,16.9,883.8,62.71,25.94,78.692,58.5,56.7 °F,94,NNE,4.9,5.1 mph,30.03 in,0.09 in,0.48 in,1,91.4 w/m²
18/06/2021 21:40,400.9,19.9,8.9,16.6,1,19.6,8.9,16.6,928.2,63.1,26.06,78.908,58.6,56.8 °F,94,NNE,4.8,5.0 mph,30.03 in,0.00 in,0.48 in,1,101.3 w/m²
18/06/2021 21:45,400.9,17.4,8.9,16.1,1,18.3,8.9,16.1,968.6,63.45,26.2,79.16,58.6,56.8 °F,94,NNE,5.5,5.9 mph,30.03 in,0.00 in,0.48 in,1,89.8 w/m²
