time,eco2,pm100_env,pm10_env,pm25_env,TVOC,pm100_standard,pm10_standard,pm25_standard,CO2,hum_in,tem,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
21/06/2021 21:30,400.9,9.4,7.4,9.4,1,9.5,7.4,9.4,501.8,51.26,24.9,76.82,56.3,51.6 °F,84,ENE,5.2,5.7 mph,30.13 in,0.00 in,0.22 in,0,0.9 w/m²
21/06/2021 21:35,400.9,10.5,8.3,10.3,1,10.5,8.3,10.3,515.8,51.54,24.9,76.82,56.3,51.6 °F,84,NNE,3.1,3.3 mph,30.13 in,0.00 in,0.22 in,0,0.6 w/m²
21/06/2021 21:40,400.9,10.7,8.1,10.6,1,10.6,8.1,10.6,544.5,52.2875,24.975,76.955,56.3,51.7 °F,84,NE,3.7,3.9 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 21:45,400.9,10.6,8.1,10.5,1,10.6,8.1,10.5,618.5,53.02,25.2,77.36,56.3,51.9 °F,85,NNE,4.1,4.4 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 21:50,400.9,10.7,8.4,10.5,1,10.6,8.4,10.5,686.2,53.49,25.36,77.648,56.3,51.8 °F,85,NNE,4.5,4.7 mph,30.13 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 21:55,400.9,11.7,8.4,11.3,1,11.8,8.4,11.3,741.2,53.81,25.5,77.9,56.3,51.8 °F,85,NNE,5.2,5.6 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:00,400.9,11.3,8.3,11.3,1,11.4,8.3,11.3,802.9,54.12,25.61,78.098,56.3,51.7 °F,85,NNE,4.1,4.4 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:05,400.9,11.6,8.7,11.1,1,11.3,8.7,11.1,875.5,54.55,25.71,78.278,56.2,51.8 °F,85,NE,4.9,5.3 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:10,400.9,11,8.1,10.9,1,11.5,8.1,10.9,961.5,54.9,25.8,78.44,56.1,51.6 °F,85,NE,4.1,4.3 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:15,400.9,12.1,8.5,11.2,1,11.7,8.5,11.2,1023.8,55.17,25.89,78.602,56.1,51.6 °F,85,NE,3.3,3.5 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:20,400.9,11.5,7.6,11.3,1,11.4,7.6,11.3,1075.1,55.41,25.91,78.638,56.1,51.7 °F,86,NE,4.5,4.8 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:25,401,11,7.6,10.6,1,11.1,7.6,10.6,1125.3,55.74,25.93,78.674,56.1,51.8 °F,86,NE,5.1,5.6 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:30,400.9,10.2,7.4,10.3,1,10.5,7.4,10.3,1166.7,56.08,25.99,78.782,56.1,52.2 °F,87,North,4.2,4.5 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:35,400.9,9.4,7.2,9.4,1,9.4,7.2,9.4,1210.1,56.33,26,78.8,56.1,51.8 °F,86,NE,6.1,6.7 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:40,400.9,10.5,7.8,10.2,1,10.4,7.8,10.2,1244.1,56.49,26,78.8,56.1,51.7 °F,85,NNE,5.4,5.9 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:45,400.9,10,7.1,9.9,1,10,7.1,9.9,1277.2,56.72,26,78.8,55.9,51.4 °F,85,NNE,6.5,7.2 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:50,400.9,11.2,7.8,10.2,1,10.6,7.8,10.2,1314.5,56.91,26,78.8,55.9,51.3 °F,85,NNE,6.4,7.2 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 22:55,400.9,9,7.1,9.2,1,9.5,7.1,9.2,1344.4,57.21,26,78.8,55.9,50.9 °F,84,NE,6.9,7.7 mph,30.14 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:00,400.9,10,7.1,9.5,1,9.7,7.1,9.5,1371.7,57.37,26,78.8,55.9,50.9 °F,84,NNE,6.3,7.1 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:05,400.9,9.6,7.5,10,1,10,7.5,10,1393.2,57.47,25.99,78.782,55.9,50.9 °F,84,NNE,4.6,4.9 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:10,400.9,9.6,7.3,9.2,1,9.2,7.3,9.2,1424.8,57.6,26,78.8,55.6,50.5 °F,83,NNE,7.3,8.1 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:15,400.9,10.2,7.9,10.3,1,10.3,7.9,10.3,1451.4,57.7,26,78.8,55.6,50.1 °F,82,NNE,7.5,8.4 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:20,401,9.2,7.2,9.1,1,9.2,7.2,9.1,1483.1,57.82,26,78.8,55.7,50.1 °F,82,NNE,5.9,6.4 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:25,400.9,10.4,6.7,10,1,10.2,6.7,10,1510.5,57.95,26,78.8,55.7,50.1 °F,82,NNE,6.2,6.9 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:30,400.9,9.5,6.6,8.7,1,9.8,6.6,8.7,1551,58.09,26.01,78.818,55.7,50.1 °F,82,NNE,6,6.5 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:35,400.9,8.7,6.3,8.7,1,8.8,6.3,8.7,1576.1,58.1,26,78.8,55.6,50.5 °F,83,NNE,5,5.4 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:40,400.9,8,5.9,7.9,1,7.9,5.9,7.9,1598.1,58.1,26,78.8,55.4,50.7 °F,84,NNE,5.3,5.7 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:45,400.9,8.8,6.5,8.6,1,8.9,6.5,8.6,1611.9,58.1,26,78.8,55.2,50.7 °F,85,NNE,4.5,4.8 mph,30.16 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:50,400.9,8.6,6.3,8.3,1,8.5,6.3,8.3,1621.1,58.11,26.01,78.818,55.1,50.6 °F,85,NNE,6.1,6.7 mph,30.15 in,0.00 in,0.22 in,0,0 w/m²
21/06/2021 23:55,400.9,7.7,5.7,7.6,1,7.8,5.7,7.6,1638.1,58.1,26,78.8,55,50.6 °F,85,NE,6.1,6.5 mph,30.16 in,0.00 in,0.22 in,0,0 w/m²
22/06/2021 00:00,400.9,8.2,5.6,8.4,1,8.4,5.6,8.4,1658.9,58.12,26,78.8,55,50.9 °F,86,NNE,5.6,6.1 mph,30.16 in,0.00 in,0.22 in,0,0 w/m²
22/06/2021 00:05,400.9,8.4,5.7,7.9,1,7.9,5.7,7.9,1681.9,58.24,26,78.8,55,50.9 °F,86,NE,5.2,5.6 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:10,400.9,8,5.9,7.8,1,8.2,5.9,7.8,1697,58.3,26,78.8,54.8,50.7 °F,86,North,4.7,5.0 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:15,400.9,8.1,6.4,8,1,8.2,6.4,8,1708.3,58.32,26.01,78.818,54.8,50.7 °F,86,NNE,4.1,4.4 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:20,401,8.2,5.6,7.9,1,8.1,5.6,7.9,1711.4,58.41,26,78.8,54.8,50.7 °F,86,North,5,5.5 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:25,400.9,7.7,5.7,7.7,1,7.9,5.7,7.7,1713.5,58.5,26,78.8,54.6,50.5 °F,86,NNE,4.4,4.8 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:30,400.9,6.8,5.6,7,1,7,5.6,7,1720.8,58.44,26,78.8,54.6,50.5 °F,86,NNE,4.1,4.4 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:35,400.9,6.9,5.4,6.7,1,6.7,5.4,6.7,1730.1,58.39,26,78.8,54.6,50.5 °F,86,NNE,5,5.4 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:40,400.9,6.8,5.1,6.8,1,6.9,5.1,6.8,1723.8,58.35,26,78.8,54.6,50.5 °F,86,NNE,4,4.3 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:45,400.9,7.8,5.5,7.6,1,7.7,5.5,7.6,1729.8,58.41,26,78.8,54.5,50.5 °F,86,NNE,6,6.5 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:50,400.9,6.3,5.3,6.4,1,6.4,5.3,6.4,1757.3,58.5,26,78.8,54.5,50.5 °F,86,NNE,4.2,4.6 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 00:55,400.9,7.4,5.1,7.2,1,7.3,5.1,7.2,1792.8,58.59,26,78.8,54.5,50.5 °F,86,NNE,5.4,5.8 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 01:00,400.9,6.8,5.1,6.7,1,6.7,5.1,6.7,1815.6,58.62,26.02,78.836,54.3,50.2 °F,86,NNE,5.5,6.0 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 01:05,400.9,7.1,5.2,6.9,1,7.2,5.2,6.9,1827.7,58.65,26.02,78.836,54.3,50.1 °F,86,NNE,4.2,4.5 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 01:10,400.9,7.4,5.3,7.4,1,7.5,5.3,7.4,1832.9,58.63,26.01,78.818,54.3,49.8 °F,85,NE,7.3,8.0 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 01:15,400.9,6.3,5,6.3,1,6.3,5,6.3,1843.3,58.67,26.07,78.926,54.3,49.8 °F,85,NNE,7.1,7.7 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 01:20,400.9,6.5,5,6.4,1,6.5,5,6.4,1833.7,58.61,26.08,78.944,54.3,49.6 °F,85,NE,6.9,7.5 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
22/06/2021 01:25,401,5.9,4.9,5.9,1,5.9,4.9,5.9,1819,58.55,26.1,78.98,54.3,49.4 °F,84,NNE,5.2,5.7 mph,30.17 in,0.00 in,0.00 in,0,0 w/m²
