time,eco2,pm100_env,pm10_env,pm25_env,TVOC,pm100_standard,pm10_standard,pm25_standard,CO2,hum_in,tem,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
17/06/2021 21:35,400.9,13.7,11.4,13.6,1,14,11.4,13.6,402.3,59.73,27.06,80.708,62.9,60.9 °F,93,NNE,5.4,5.6 mph,30.05 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 21:40,400.9,16.5,11.4,14.5,1,14.6,11.4,14.5,494,60.8,27.09,80.762,62.9,60.9 °F,93,NE,2.7,2.7 mph,30.06 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 21:45,400.9,29.5,19.7,28.5,1,29.8,20.2,29.1,545.6,61.11,27.27,81.086,62.9,60.6 °F,92,NNE,4.5,4.8 mph,30.06 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 21:50,400.9,26.3,17.9,25.7,1,26.7,17.9,25.7,599.1,61.28,27.48,81.464,62.7,60.4 °F,92,NNE,4.1,4.3 mph,30.06 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 21:55,400.9,24.1,17.2,22.7,0.9,23.8,17.2,22.7,664.7,61.35,27.65,81.77,62.7,60.4 °F,92,NNE,3.1,3.2 mph,30.07 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 22:00,400.9,23.6,17.7,23.5,1,23.9,17.7,23.5,704.5,61.62,27.81,82.058,62.6,60.2 °F,92,NNE,4.1,4.2 mph,30.07 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 22:05,401,24.6,15.3,23.4,1,24.4,15.3,23.4,741.5,61.92,27.94,82.292,62.7,60.0 °F,91,NE,2.2,2.2 mph,30.07 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 22:10,400.8,23.5,16.9,23.3,1,23.8,16.9,23.3,809.7,62.72,28.05,82.49,62.8,60.3 °F,91,ENE,2,2.1 mph,30.08 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 22:15,400.9,22.3,16,21.6,1,22.6,16,21.6,900.7,63.41,28.18,82.724,62.6,60.4 °F,92,ENE,3.4,3.5 mph,30.07 in,0.09 in,0.33 in,0,0 w/m²
17/06/2021 22:20,400.9,23.4,16.8,22.7,1,23.3,16.8,22.7,1001.7,64.37,28.25,82.85,62.6,60.6 °F,93,ENE,2,2.0 mph,30.08 in,0.09 in,0.33 in,0,0 w/m²
17/06/2021 22:25,400.9,23.4,16.4,22.7,1,23.2,16.4,22.7,1056.5,64.75,28.32,82.976,62.2,60.2 °F,93,ENE,4,4.2 mph,30.08 in,0.18 in,0.34 in,0,0 w/m²
17/06/2021 22:30,400.9,21.5,15.5,21.2,1,21.8,15.5,21.2,1117,65.09,28.4,83.12,62.1,60.1 °F,93,NE,4.4,4.6 mph,30.08 in,0.09 in,0.34 in,0,0 w/m²
17/06/2021 22:35,400.9,22.3,16.3,21.5,1,22.1,16.3,21.5,1168.6,65.29,28.43,83.174,62.1,60.1 °F,93,ENE,3.4,3.5 mph,30.08 in,0.09 in,0.34 in,0,0 w/m²
17/06/2021 22:40,400.9,21.6,16,21,1,21.8,16,21,1227.9,65.51,28.5,83.3,62.1,60.2 °F,93,NNE,3.7,4.0 mph,30.07 in,0.00 in,0.34 in,0,0 w/m²
17/06/2021 22:45,400.9,21,14.5,19.8,1,20.8,14.5,19.8,1276.8,65.68,28.52,83.336,62,60.0 °F,93,NNE,5.5,5.9 mph,30.08 in,0.00 in,0.34 in,0,0 w/m²
17/06/2021 22:50,400.9,21.5,15.6,21.2,1,21.9,15.6,21.2,1333.8,65.92,28.57,83.426,62,59.9 °F,93,NNE,3.8,4.0 mph,30.08 in,0.00 in,0.34 in,0,0 w/m²
17/06/2021 22:55,400.9,20.3,15.5,20.1,1,20.2,15.5,20.1,1366.4,65.93,28.6,83.48,62,60.0 °F,93,NNE,4.3,4.6 mph,30.07 in,0.00 in,0.34 in,0,0 w/m²
17/06/2021 23:00,401,20.1,14.2,19.5,1,20.3,14.2,19.5,1390.7,65.93,28.6,83.48,62,60.0 °F,93,NE,3.7,4.0 mph,30.07 in,0.09 in,0.36 in,0,0 w/m²
17/06/2021 23:05,400.9,20.4,14,19.2,1,20.2,14,19.2,1424.8,66.13,28.6,83.48,62,60.0 °F,93,NNE,3.4,3.6 mph,30.07 in,0.09 in,0.36 in,0,0 w/m²
17/06/2021 23:10,400.9,19.2,14.2,18.9,1,19.2,14.2,18.9,1464.3,66.36,28.61,83.498,61.8,59.9 °F,93,ENE,4.8,5.0 mph,30.07 in,0.09 in,0.36 in,0,0 w/m²
17/06/2021 23:15,400.9,19.4,14.5,18.9,1,19.4,14.5,18.9,1498.6,66.53,28.63,83.534,61.8,59.9 °F,93,NNE,4.9,5.2 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:20,400.9,18.5,13.8,17.5,1,18.2,13.8,17.5,1527.2,66.58,28.67,83.606,61.7,59.9 °F,93,NNE,4.4,4.6 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:25,400.9,19.3,13.7,18.8,1,19.9,13.7,18.8,1554.3,66.71,28.67,83.606,61.7,59.9 °F,93,NNE,5.5,5.9 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:30,400.9,18.2,13.7,18,1,18.1,13.7,18,1593.4,66.97,28.7,83.66,61.7,59.9 °F,93,NNE,4.1,4.4 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:35,400.9,17.9,13.6,17.2,1,17.7,13.6,17.2,1617.8,67.27,28.7,83.66,61.7,59.9 °F,93,NNE,3.9,4.2 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:40,400.9,17.5,13.2,17,1,17.5,13.2,17,1645.9,67.99,28.73,83.714,61.8,59.9 °F,93,NE,4.7,4.9 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:45,400.9,18.1,13.1,18,1,18.2,13.1,18,1735.6,68.61,28.8,83.84,61.7,59.9 °F,93,NE,5.3,5.7 mph,30.07 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:50,400.9,17.2,13.2,17.2,1,17.5,13.2,17.2,1954.2,69.88,28.81,83.858,61.8,59.9 °F,93,NE,4.8,5.0 mph,30.06 in,0.00 in,0.36 in,0,0 w/m²
17/06/2021 23:55,400.9,18.5,13.3,17.4,1,18,13.3,17.4,2193.4,71.84,28.91,84.038,61.8,59.9 °F,93,,4.6,4.9 mph,30.06 in,0.00 in,0.36 in,0,0 w/m²
18/06/2021 00:00,400.9,17.8,12.5,17.4,1,18,12.5,17.4,2352.9,73.48,28.99,84.182,61.8,59.9 °F,93,,3.6,3.8 mph,30.06 in,0.00 in,0.36 in,0,0 w/m²
18/06/2021 00:05,401,17.2,12.4,16.9,1,17.3,12.4,16.9,2455,74.97,29,84.2,61.8,59.9 °F,93,,3.6,3.9 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:10,400.9,17.2,13.4,17.1,1,17.4,13.4,17.1,2562.4,75.88,29,84.2,61.8,59.9 °F,93,North,2.5,2.5 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:15,400.9,17.2,12.8,17.1,1,17.1,12.8,17.1,2643.7,76.53,29.03,84.254,61.7,59.9 °F,93,NE,4.3,4.5 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:20,400.9,16.6,11.9,16.1,1,16.7,11.9,16.1,2676,76.86,29.02,84.236,61.7,59.9 °F,93,North,5.2,5.6 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:25,400.9,16.9,11.7,16.6,1,16.8,11.7,16.6,2680.3,77.06,29,84.2,61.7,59.9 °F,93,NE,4.5,4.7 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:30,400.9,16.5,12.5,16.4,1,17,12.5,16.4,2686.6,77.16,29,84.2,61.5,59.6 °F,93,NNE,3.5,3.6 mph,30.05 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:35,400.9,17,11.8,15.9,1,16.6,11.8,15.9,2643,76.91,29,84.2,61.5,59.5 °F,93,NNE,4.3,4.7 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:40,400.9,17,12,16,1,16.7,12,16,2630.3,77.68,28.94,84.092,61.4,59.4 °F,93,North,5,5.4 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:45,400.9,18.2,12.2,17.3,1,18.1,12.2,17.3,2676.9,79.09,28.97,84.146,61.3,59.3 °F,93,NNE,5,5.4 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
18/06/2021 00:50,400.9,18.7,13.2,18.3,1,18.8,13.2,18.3,2708.1,79.68,28.94,84.092,61.3,59.3 °F,93,NNE,2.7,2.8 mph,30.06 in,0.00 in,0.00 in,0,0 w/m²
