time,eco2,pm100_env,pm10_env,pm25_env,TVOC,pm100_standard,pm10_standard,pm25_standard,CO2,hum_in,tem,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
16/06/2021 21:00,400.9,29.6,19.7,28.5,1,30,20.4,28.8,562.9,55.21,30.3,86.54,75.1,64.2 °F,69,South,3,3.1 mph,29.94 in,0.09 in,0.01 in,0,1 w/m²
16/06/2021 21:05,400.9,30.1,19.8,27.7,1,29.4,20.1,27.7,579.2,55.4,30.3,86.54,74.6,64.3 °F,71,SSW,4.6,5.0 mph,29.94 in,0.09 in,0.01 in,0,0.6 w/m²
16/06/2021 21:10,400.9,28.7,19.8,28.3,1,29.4,20.1,28.5,623,55.85,30.29,86.522,74,64.7 °F,73,SSW,3.4,3.5 mph,29.94 in,0.09 in,0.03 in,0,0.4 w/m²
16/06/2021 21:15,400.9,31.9,20.7,29,1,31.3,21.7,29.6,679.8,57.79,30.36,86.648,73.5,64.9 °F,74,South,3.9,4.1 mph,29.95 in,0.18 in,0.04 in,0,0.2 w/m²
16/06/2021 21:20,400.9,33.9,22,31.2,1,33.9,23.6,32.3,737.6,59.07,30.41,86.738,73,65.1 °F,76,South,3.1,3.2 mph,29.95 in,0.18 in,0.04 in,0,0 w/m²
16/06/2021 21:25,400.9,30.2,21.4,29.6,1,30.3,22.7,29.9,804.9,60.33,30.48,86.864,72.5,65.8 °F,79,South,2.5,2.5 mph,29.94 in,0.18 in,0.06 in,0,0 w/m²
16/06/2021 21:30,400.9,31.7,20.9,29.8,1,31.6,22.2,30.5,859.2,61.38,30.51,86.918,72.1,65.7 °F,80,SSW,2,2.0 mph,29.95 in,0.18 in,0.07 in,0,0 w/m²
16/06/2021 21:35,400.9,30.6,20.9,29.2,1,30.6,21.9,29.6,889.1,61.3,30.54,86.972,71.6,65.6 °F,82,SW,2.2,2.3 mph,29.95 in,0.18 in,0.09 in,0,0 w/m²
16/06/2021 21:40,400.9,28.5,19.4,27.9,1,28.9,19.8,28.2,929.5,61.49,30.53,86.954,71.4,65.9 °F,83,South,1.8,1.9 mph,29.95 in,0.18 in,0.09 in,0,0 w/m²
16/06/2021 21:45,400.9,27.5,19.6,27.1,1,27.5,20,27.2,965.3,61.67,30.58,87.044,71.4,65.7 °F,83,South,3,3.2 mph,29.96 in,0.18 in,0.11 in,0,0 w/m²
16/06/2021 21:50,401,28.3,19.8,27.5,1,28.1,20.3,27.6,996.1,61.83,30.59,87.062,71.1,65.4 °F,82,SSW,5.6,6.1 mph,29.96 in,0.28 in,0.14 in,0,0 w/m²
16/06/2021 21:55,400.9,27.5,18.8,26.9,1,27.7,19,26.9,1022.1,62.02,30.59,87.062,70.6,65.4 °F,84,South,4.1,4.4 mph,29.97 in,0.28 in,0.15 in,0,0 w/m²
16/06/2021 22:00,400.9,26.6,18.5,25.4,1,26.2,18.7,25.4,1046.5,62.29,30.6,87.08,70.2,65.4 °F,85,South,4.5,4.8 mph,29.97 in,0.37 in,0.18 in,0,0 w/m²
16/06/2021 22:05,400.9,26.3,18.8,26.3,1,27.2,19,26.4,1081,62.49,30.6,87.08,69.9,65.4 °F,86,South,3.1,3.3 mph,29.97 in,0.37 in,0.22 in,0,0 w/m²
16/06/2021 22:10,400.9,25.5,18.4,24.6,1,25,18.4,24.6,1105.4,62.56,30.59,87.062,69.4,65.0 °F,86,South,2.5,2.6 mph,29.97 in,0.37 in,0.23 in,0,0 w/m²
16/06/2021 22:15,400.9,25.3,17.8,25,1,25.8,17.8,25,1123.1,62.59,30.6,87.08,69.4,65.1 °F,86,South,1.7,1.7 mph,29.97 in,0.28 in,0.25 in,0,0 w/m²
16/06/2021 22:20,400.9,23.1,16.3,21.9,1,22.7,16.3,21.9,1142,62.52,30.59,87.062,69.2,65.3 °F,87,SW,1.7,1.7 mph,29.96 in,0.28 in,0.26 in,0,0 w/m²
16/06/2021 22:25,400.9,24.3,17.1,23.9,1,24.4,17.1,23.9,1165.8,62.65,30.6,87.08,69.2,65.4 °F,88,WSW,0.6,0.6 mph,29.96 in,0.28 in,0.29 in,0,0 w/m²
16/06/2021 22:30,400.9,23.3,17.5,23,1,23.5,17.5,23,1200.6,62.82,30.6,87.08,69,65.8 °F,89,WSW,0.3,0.3 mph,29.96 in,0.28 in,0.29 in,0,0 w/m²
16/06/2021 22:35,400.9,23.6,16.8,23.4,1,24,16.8,23.4,1234.1,63.08,30.6,87.08,68.6,64.8 °F,88,SW,0.8,0.8 mph,29.95 in,0.09 in,0.29 in,0,0 w/m²
16/06/2021 22:40,400.9,23.9,16.5,22.7,1,23.4,16.5,22.7,1274.6,63.43,30.59,87.062,68.7,64.6 °F,87,SE,3.1,3.3 mph,29.94 in,0.00 in,0.29 in,0,0 w/m²
16/06/2021 22:45,400.9,23.1,16.5,22.6,1,23.3,16.5,22.6,1315.1,63.79,30.59,87.062,68.9,64.9 °F,87,SE,2.7,2.8 mph,29.94 in,0.00 in,0.29 in,0,0 w/m²
16/06/2021 22:50,401,22.6,15.9,21.9,1,22.3,15.9,21.9,1346.8,64.14,30.6,87.08,68.9,64.7 °F,86,SSE,2.9,3.0 mph,29.94 in,0.09 in,0.31 in,0,0 w/m²
16/06/2021 22:55,400.9,23,16.7,22.9,1,23.1,16.7,22.9,1377.7,64.41,30.6,87.08,69,65.0 °F,87,SE,3,3.1 mph,29.94 in,0.09 in,0.31 in,0,0 w/m²
16/06/2021 23:00,400.9,21.2,15.5,21.2,1,21.5,15.5,21.2,1408.1,64.64,30.6,87.08,68.9,64.7 °F,86,SE,3.5,3.7 mph,29.94 in,0.09 in,0.31 in,0,0 w/m²
16/06/2021 23:05,400.9,21.1,15.8,21.1,1,21.3,15.8,21.1,1440.6,64.79,30.6,87.08,68.9,65.2 °F,87,SSE,2.1,2.1 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:10,400.9,21.9,15.3,20.3,1,21.6,15.3,20.3,1470.6,65.09,30.6,87.08,69,65.3 °F,88,SSE,3.2,3.3 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:15,400.9,20.6,15.2,20.3,1,20.9,15.2,20.3,1498.3,65.46,30.6,87.08,68.9,65.4 °F,88,SE,1.6,1.6 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:20,400.9,21.3,15,19.8,1,20.9,15,19.8,1531.4,65.95,30.6,87.08,68.7,64.9 °F,88,East,2.3,2.4 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:25,400.9,20.4,14.9,20,1,20.7,14.9,20,1584.7,66.17,30.6,87.08,68.5,63.9 °F,86,SE,1.7,1.7 mph,29.92 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:30,400.9,20.4,15.2,20.2,1,20.5,15.2,20.2,1642.1,66.5,30.6,87.08,68.5,63.4 °F,84,SE,1.7,1.7 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:35,400.9,19.5,14.4,18.6,1,18.9,14.4,18.6,1679.4,67.18,30.62,87.116,68.7,63.6 °F,84,SE,0.5,0.5 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:40,400.9,21.5,15.7,20.8,1,21.7,15.7,20.8,1721.8,67.68,30.63,87.134,68.8,64.3 °F,85,SE,0.4,0.4 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:45,401,21,15.1,20.6,1,20.8,15.1,20.6,1751.2,68.07,30.69,87.242,68.9,64.4 °F,85,SE,0.9,0.9 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:50,400.9,18.7,13.6,18.5,1,18.9,13.6,18.5,1773.5,68.23,30.7,87.26,68.9,64.2 °F,85,SSE,1.1,1.1 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
16/06/2021 23:55,400.9,19.3,14.1,18.2,1,19.4,14.1,18.2,1800.6,68.51,30.7,87.26,68.9,64.3 °F,85,SSE,1.3,1.3 mph,29.92 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 00:00,400.9,19.8,14.4,18.7,1,19.6,14.4,18.7,1824.7,68.66,30.7,87.26,68.7,63.9 °F,85,South,0.9,0.9 mph,29.93 in,0.00 in,0.31 in,0,0 w/m²
17/06/2021 00:05,400.9,18.8,14.5,19,1,19.4,14.5,19,1849.7,68.86,30.7,87.26,68.7,64.4 °F,86,South,0.3,0.3 mph,29.93 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:10,400.9,18.3,13.4,17.9,1,18.2,13.4,17.9,1866.2,68.83,30.69,87.242,68.5,64.6 °F,87,South,0.1,0.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:15,400.9,19.6,14.1,19.2,1,19.3,14.1,19.2,1898.8,68.93,30.7,87.26,68.5,64.7 °F,88,South,0.3,0.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:20,400.9,18.1,13,18,1,18.3,13,18,1933.1,68.98,30.68,87.224,68.4,65.2 °F,89,South,0.5,0.5 mph,29.93 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:25,400.9,19.4,13.7,17.8,1,18.8,13.7,17.8,1982.8,69.1,30.7,87.26,68.1,64.9 °F,89,SSW,1.6,1.6 mph,29.93 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:30,400.9,18.2,13.2,17.6,1,17.9,13.2,17.6,1974.3,69.07,30.7,87.26,68.1,65.0 °F,89,SW,0.8,0.8 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:35,400.9,17,13.4,17.4,1,17.9,13.4,17.4,1984.3,69.14,30.68,87.224,68,64.9 °F,90,West,1.3,1.3 mph,29.93 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:40,400.9,17.3,13,16.5,1,17.2,13,16.5,2017.1,69.18,30.69,87.242,67.8,64.7 °F,90,WNW,1.5,1.5 mph,29.93 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:45,400.9,18.2,13.7,18.1,1,18.3,13.7,18.1,2049.2,69.25,30.68,87.224,67.6,64.6 °F,90,WNW,1.4,1.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:50,401,18.4,14.1,17.8,1,18.5,14.1,17.8,2085.9,69.45,30.7,87.26,67.5,64.5 °F,90,NW,0.3,0.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 00:55,400.9,16.7,13.2,16.8,1,16.9,13.2,16.8,2136.6,69.69,30.7,87.26,67.2,64.2 °F,90,NW,1.2,1.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:00,400.9,16.7,12,16.5,1,16.6,12,16.5,2180.8,69.79,30.7,87.26,67.2,64.2 °F,90,NW,0.9,0.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:05,400.9,17.7,11.9,16.9,1,17.5,11.9,16.9,2219.2,69.91,30.68,87.224,67.2,64.2 °F,90,NW,1.8,1.8 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:10,400.9,15.8,12,15.3,1,15.7,12,15.3,2245.2,69.96,30.66,87.188,67.1,64.2 °F,90,NW,2.4,2.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:15,400.9,18.3,12.8,17.5,1,18.4,12.8,17.5,2273,69.97,30.62,87.116,67.1,64.2 °F,90,NW,1.4,1.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:20,400.9,16.1,12,15.7,1,16.2,12,15.7,2311,70.07,30.6,87.08,67.1,64.3 °F,91,NW,2,2.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:25,400.9,16,12.5,15.4,1,15.8,12.5,15.4,2340.5,70.16,30.61,87.098,67.1,64.2 °F,90,NW,2,2.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:30,400.9,18.2,12.5,17.7,1,18.4,12.5,17.7,2378.1,70.3,30.61,87.098,67.1,64.2 °F,90,NW,2.8,2.8 mph,29.91 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:35,400.9,16.1,12.4,15.8,1,16,12.4,15.8,2404.5,70.43,30.61,87.098,67,64.1 °F,91,NNW,2.6,2.6 mph,29.90 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:40,400.9,15.6,11.9,15.4,1,15.7,11.9,15.4,2418.4,70.47,30.61,87.098,66.9,64.0 °F,91,NNW,0.2,0.2 mph,29.90 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:45,400.9,15.8,12.1,15.7,1,16,12.1,15.7,2445.8,70.57,30.6,87.08,66.9,64.0 °F,91,NNW,0.9,0.9 mph,29.90 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:50,401,16.3,11.7,15.9,1,16.1,11.7,15.9,2489.1,70.73,30.61,87.098,66.9,64.0 °F,91,NNW,0.9,0.9 mph,29.90 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 01:55,400.9,15.8,11.5,15,1,15.7,11.5,15,2513.7,70.96,30.6,87.08,66.8,63.9 °F,91,NNW,1.1,1.1 mph,29.90 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:00,400.9,16.6,12,16.3,1,16.7,12,16.3,2520.6,71.43,30.58,87.044,66.7,63.8 °F,91,NNW,0.7,0.7 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:05,400.9,16.1,12.4,16.3,1,16.3,12.4,16.3,2523.3,71.68,30.61,87.098,66.8,63.9 °F,91,NNW,1.1,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:10,400.9,16,12,15.7,1,16.1,12,15.7,2538.1,71.8,30.6,87.08,66.9,64.0 °F,91,NNW,0.7,0.7 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:15,400.9,16,11.4,15.3,1,15.9,11.4,15.3,2579.8,71.9,30.6,87.08,66.9,64.0 °F,91,NNW,0,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:20,400.9,16.7,11.9,16,1,16.4,11.9,16,2615.9,71.95,30.52,86.936,66.9,64.0 °F,91,NNW,0,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:25,400.9,16.2,11.4,15,1,15.9,11.4,15,2649.9,72.15,30.52,86.936,66.9,64.0 °F,91,NNW,0.4,0.4 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:30,400.9,15.7,12.1,15.9,1,16.2,12.1,15.9,2692.8,72.3,30.51,86.918,66.9,64.0 °F,91,NNW,1,1.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:35,400.9,14.6,11.3,14.5,1,14.7,11.3,14.5,2728.9,72.5,30.51,86.918,66.9,64.1 °F,91,NNW,0.5,0.5 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:40,400.9,15.1,11.1,14.8,1,15,11.1,14.8,2755.2,72.66,30.5,86.9,67.1,64.4 °F,91,NNW,0.6,0.6 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:45,400.9,15.6,11.6,15,1,15.6,11.6,15,2788.2,72.87,30.5,86.9,67.1,64.2 °F,90,NNW,2,2.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
17/06/2021 02:50,401,15.4,10.8,15.1,1,15.4,10.8,15.1,2786.3,72.98,30.5,86.9,67.2,64.2 °F,90,NNW,0.4,0.4 mph,29.89 in,0.00 in,0.00 in,0,0 w/m²
