time,CO2,temp,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
07/07/2021 22:50,454,28.06,47.37,82.508,60.9,54.6 °F,80,SW,3,3.1 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 22:55,490.9,28,49.25,82.4,60.8,54.5 °F,80,SW,2.4,2.5 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:00,543.2,28,50.25,82.4,60.8,54.5 °F,80,SW,2.5,2.6 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:05,598,28.1,50.56,82.58,60.7,54.4 °F,80,SW,3.6,3.8 mph,30.13 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:10,653,28.17,50.81,82.706,60.5,54.2 °F,80,SSW,2.7,2.8 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:15,701,28.26,51.15,82.868,60.4,54.4 °F,81,SSW,3.2,3.2 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:20,748.2,28.3,51.23,82.94,60.4,54.5 °F,81,SSW,3.6,3.8 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:25,791.9,28.35,51.28,83.03,60.4,54.6 °F,82,SSW,2.8,3.0 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:30,839.8,28.4,51.51,83.12,60.3,54.8 °F,83,SSW,1.4,1.4 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:35,884.5,28.4,51.75,83.12,60.1,54.5 °F,82,SSW,2,2.0 mph,30.14 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:40,923.8,28.4,52.05,83.12,60,54.5 °F,82,SSW,2.7,2.8 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:45,966,28.48,52.26,83.264,59.9,54.8 °F,83,South,2.8,2.8 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:50,1001.5,28.48,52.27,83.264,59.9,54.8 °F,83,South,2.8,2.8 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
07/07/2021 23:55,1026,28.5,52.6,83.3,59.9,54.8 °F,83,South,2.2,2.2 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:00,1064.2,28.5,52.89,83.3,59.7,54.5 °F,83,SSW,2.3,2.5 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:05,1101,28.52,53.03,83.336,59.7,54.5 °F,83,SSW,1.7,1.7 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:10,1141.2,28.5,53.28,83.3,59.7,54.4 °F,83,South,0.8,0.8 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:15,1163.4,28.5,53.51,83.3,59.7,54.1 °F,82,SSW,2.9,3.0 mph,30.16 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:20,1189.5,28.57,53.5,83.426,59.9,54.1 °F,81,SSW,2.8,2.9 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:25,1194.2,28.56,53.47,83.408,60,54.1 °F,81,South,2.1,2.1 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:30,1210.9,28.6,53.56,83.48,59.9,54.1 °F,81,South,1.6,1.6 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
08/07/2021 00:35,1244.1,28.6,53.6,83.48,59.7,53.7 °F,81,SSW,2.8,2.8 mph,30.15 in,0.00 in,0.00 in,0,0 w/m²
